answer,depth,len,used_facts,used_rules,premise,hypothesis,count_rules
True,3,5,"[array(['The rabbit likes the lion.', 'The rabbit likes the lion.'],
       dtype=object)
 array(['The rabbit likes the lion.', 'The rabbit likes the lion.'],
       dtype=object)                                                ]","[array(['If something likes the lion then the lion needs the rabbit.',
        'If something needs the rabbit and the rabbit likes the lion then the lion is round.',
        'If something is round then it likes the rabbit.'], dtype=object)
 array(['If something likes the lion then the lion needs the rabbit.',
        'If something needs the rabbit and the rabbit likes the lion then the lion is round.',
        'If something is round then it likes the rabbit.'], dtype=object)                     ]",The rabbit eats the lion. The rabbit needs the dog. The rabbit likes the dog. The rabbit likes the lion. The dog eats the lion. The lion eats the rabbit. The dog likes the rabbit.  If something likes the lion and the lion eats the dog then it needs the lion. If something needs the dog then it eats the dog. If something likes the lion then the lion needs the rabbit. If something needs the rabbit and the rabbit likes the lion then the lion is round. If something is round and it needs the dog then it needs the lion. If the lion is cold and the lion eats the rabbit then the rabbit is blue. If something is round then it likes the rabbit. ,The lion likes the rabbit.,3
True,3,5,"[array(['Dave is furry.', 'Dave is furry.'], dtype=object)]","[array(['If something is furry then it is cold.',
        'Furry, cold things are big.',
        'If something is big then it is smart.'], dtype=object)]","Dave is furry. Fiona is big. Harry is cold. Bob is round.  If something is big then it is smart. If Fiona is smart and Fiona is green then Fiona is round. Furry, cold things are big. If something is furry then it is cold. Green, big things are round. Young things are round. ",Dave is smart.,3
False,3,5,"[array(['Fiona is big.', 'Fiona is big.'], dtype=object)]","[array(['All big things are round.',
        'If something is round then it is kind.',
        'Big, kind things are young.'], dtype=object)]","Erin is nice. Anne is kind. Erin is cold. Charlie is smart. Charlie is young. Erin is kind. Charlie is not big. Charlie is cold. Anne is nice. Erin is young. Fiona is big. Charlie is kind.  If something is nice and kind then it is smart. All big things are round. If something is smart and not round then it is not cold. If something is round then it is kind. If Charlie is big then Charlie is young. Big, kind things are young. Nice things are cold. All round, smart things are cold. If Fiona is young then Fiona is nice. ",Fiona is not young.,3
False,3,6,"[array(['Gary is furry.', 'Gary is furry.'], dtype=object)]","[array(['All furry things are green.', 'All furry things are green.',
        'All green things are quiet.', 'Green, quiet things are smart.'],
       dtype=object)                                                     ]","Anne is kind. Dave is kind. Gary is furry. Fiona is smart.  All red things are quiet. If Fiona is green and Fiona is red then Fiona is quiet. All furry things are green. Green, quiet things are smart. All green things are quiet. All smart, red things are kind. If something is red and smart then it is furry. Smart, furry things are green. ",Gary is not smart.,3
False,3,4,"[array(['The lion needs the bear.'], dtype=object)]","[array(['If someone needs the bear then they are red.',
        'If someone is red then they need the bald eagle.',
        'If someone needs the bald eagle then they see the bald eagle.'],
       dtype=object)                                                     ]",The lion needs the bear. The cow sees the bear. The bald eagle sees the cow. The bear is cold.  If someone needs the cow and they see the bald eagle then they are cold. If someone sees the bear then they are blue. If someone needs the bear then they are red. If someone is nice then they see the bear. If someone needs the bald eagle then they see the bald eagle. If someone needs the cow and the cow needs the bear then the cow needs the lion. If someone likes the bear and they are blue then they like the lion. If someone is red then they need the bald eagle. ,The lion does not see the bald eagle.,3
False,3,6,"[array(['Gary is quiet.', 'Gary is cold.', 'Gary is quiet.'], dtype=object)]","[array(['If someone is cold then they are rough.',
        'Rough, quiet people are nice.',
        'All quiet, nice people are furry.'], dtype=object)]","Dave is blue. Fiona is nice. Dave is nice. Harry is cold. Dave is quiet. Gary is cold. Fiona is furry. Fiona is round. Gary is round. Dave is rough. Gary is quiet. Dave is furry. Fiona is blue. Harry is rough. Dave is round.  All quiet, nice people are furry. Rough, quiet people are nice. If someone is cold then they are rough. If someone is furry then they are quiet. All furry people are cold. All quiet, rough people are round. ",Gary is not furry.,3
True,3,5,"[array(['Charlie is cold.', 'Charlie is round.'], dtype=object)]","[array(['If someone is cold and round then they are smart.',
        'If someone is smart then they are kind.',
        'All kind people are blue.'], dtype=object)         ]",Erin is nice. Gary is not cold. Erin is kind. Harry is blue. Erin is big. Harry is kind. Harry is nice. Charlie is round. Charlie is cold. Gary is not big. Erin is round.  All smart people are round. All kind people are blue. If someone is cold and round then they are smart. If someone is blue then they are round. If someone is kind and blue then they are big. If someone is smart then they are kind. If Harry is cold then Harry is not kind. If someone is big then they are nice. All nice people are round. ,Charlie is blue.,3
False,3,6,"[array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)
 array(['The cat is blue.', 'The cat is blue.'], dtype=object)]","[array(['If something is blue then it is big.', 'All big things are red.',
        'If something is blue then it is big.',
        'All red, big things are not young.'], dtype=object)
 array(['If something is blue then it is big.', 'All big things are red.',
        'If something is blue then it is big.',
        'If the cat is red and the cat is big then the cat is not young.'],
       dtype=object)
 array(['If something is blue then it is big.', 'All big things are red.',
        'Blue things are big.', 'All red, big things are not young.'],
       dtype=object)
 array(['If something is blue then it is big.', 'All big things are red.',
        'Blue things are big.',
        'If the cat is red and the cat is big then the cat is not young.'],
       dtype=object)
 array(['Blue things are big.', 'All big things are red.',
        'If something is blue then it is big.',
        'All red, big things are not young.'], dtype=object)
 array(['Blue things are big.', 'All big things are red.',
        'If something is blue then it is big.',
        'If the cat is red and the cat is big then the cat is not young.'],
       dtype=object)
 array(['Blue things are big.', 'All big things are red.',
        'Blue things are big.', 'All red, big things are not young.'],
       dtype=object)
 array(['Blue things are big.', 'All big things are red.',
        'Blue things are big.',
        'If the cat is red and the cat is big then the cat is not young.'],
       dtype=object)                                                       ]","The cat is blue.  All red, big things are not young. If the cat is not blue then the cat is red. If something is blue then it is big. If something is red and not blue then it is not big. If the cat is not round then the cat is red. Blue things are big. All big things are red. If the cat is red and the cat is big then the cat is not young. ",The cat is young.,3
False,3,5,"[array(['Erin is furry.', 'Erin is blue.'], dtype=object)]","[array(['All blue things are green.', 'Furry, green things are cold.',
        'If something is cold then it is kind.'], dtype=object)       ]","Anne is round. Anne is cold. Gary is green. Fiona is green. Erin is furry. Erin is blue. Fiona is red.  If something is round and green then it is red. Furry, green things are cold. All green things are blue. Round things are green. Kind things are round. All blue things are green. If something is cold then it is kind. If something is round and kind then it is cold. ",Erin is not kind.,3
False,3,4,"[array(['The rabbit eats the dog.'], dtype=object)
 array(['The dog is kind.'], dtype=object)]","[array(['If something eats the dog then it chases the cat.',
        'If something chases the cat then the cat is kind.',
        'If something is kind then it is rough.'], dtype=object)
 array(['If something is kind then it is rough.',
        'If something is rough then it eats the dog.',
        'If something eats the dog then it chases the cat.',
        'If something chases the cat then the cat is kind.',
        'If something is kind then it is rough.'], dtype=object)]",The tiger is big. The rabbit eats the dog. The dog needs the rabbit. The dog is kind. The rabbit is green. The tiger chases the rabbit. The cat needs the dog.  If something chases the cat then the cat is kind. If something is rough then it eats the dog. If something chases the cat then it eats the cat. If something eats the dog then it chases the cat. If something eats the rabbit and the rabbit is big then it is kind. If something is kind then it is rough. If something is nice and it eats the tiger then it needs the dog. If the dog chases the tiger then the tiger needs the rabbit. If the rabbit chases the tiger then the rabbit chases the cat. ,The cat is not rough.,3
True,3,4,"[array(['Anne is smart.'], dtype=object)]","[array(['Smart people are furry.', 'All furry people are kind.',
        'If someone is kind then they are big.'], dtype=object) ]","Charlie is nice. Harry is furry. Anne is smart. Charlie is big. Gary is green. Harry is nice. Harry is red.  All furry people are kind. All big, nice people are kind. Kind, green people are big. Smart people are furry. If someone is kind then they are big. If Charlie is big then Charlie is green. Big, kind people are nice. If someone is green then they are kind. All smart, nice people are red. ",Anne is big.,3
False,3,4,"[array(['Charlie is kind.'], dtype=object)]","[array(['If something is kind then it is furry.', 'Furry things are cold.',
        'If something is cold then it is rough.'], dtype=object)           ]","Charlie is kind. Harry is big.  If Harry is kind and Harry is quiet then Harry is smart. If something is kind then it is furry. Furry things are cold. Rough, smart things are furry. Furry things are big. If something is cold then it is rough. ",Charlie is not rough.,3
False,3,4,"[array(['The squirrel is red.'], dtype=object)]","[array(['If something is red then it eats the rabbit.',
        'If the squirrel eats the rabbit then the rabbit likes the tiger.',
        'If something likes the tiger then the tiger chases the rabbit.'],
       dtype=object)                                                       ]",The rabbit eats the tiger. The tiger chases the squirrel. The squirrel is red.  If something chases the rabbit then the rabbit chases the squirrel. If something is red then it eats the rabbit. If something likes the tiger then the tiger chases the rabbit. If the squirrel is red and the tiger does not eat the squirrel then the squirrel does not like the rabbit. If something is red and blue then it chases the rabbit. If the tiger does not chase the rabbit and the tiger does not like the squirrel then the tiger does not chase the squirrel. If something is cold and blue then it likes the tiger. If the squirrel eats the rabbit then the rabbit likes the tiger. ,The tiger does not chase the rabbit.,3
True,3,5,"[array(['Harry is rough.', 'Harry is rough.'], dtype=object)]","[array(['All rough people are smart.', 'Smart, rough people are nice.',
        'Nice people are blue.'], dtype=object)                        ]","Fiona is red. Harry is rough. Charlie is round. Anne is round.  Smart, blue people are rough. All rough people are smart. If Charlie is kind then Charlie is red. Smart, rough people are nice. Nice people are blue. Round people are smart. ",Harry is blue.,3
False,3,4,"[array(['The bear visits the squirrel.'], dtype=object)]","[array(['If someone visits the squirrel then the squirrel likes the lion.',
        'If someone likes the lion then they like the cow.',
        'If someone likes the cow then they are not red.'], dtype=object)  ]",The bear sees the lion. The cow sees the lion. The lion is not big. The lion sees the squirrel. The squirrel is not rough. The lion sees the bear. The bear likes the cow. The squirrel sees the lion. The squirrel is not big. The squirrel visits the bear. The cow likes the squirrel. The bear visits the squirrel.  If someone visits the squirrel then the squirrel likes the lion. If someone visits the lion then they are red. If someone likes the lion then they like the cow. If someone visits the cow and they do not see the cow then they see the squirrel. If someone likes the cow then they are not red. If someone visits the bear then they do not like the bear. If someone likes the lion and the lion is red then the lion likes the cow. If someone sees the lion and they are big then the lion does not like the squirrel. ,The squirrel is red.,3
True,3,5,"[array(['The cow chases the dog.', 'The cow chases the dog.'], dtype=object)]","[array(['If something chases the dog then it is green.',
        'If something is green then it sees the cow.',
        'If something sees the cow and the cow chases the dog then the dog sees the cow.'],
       dtype=object)                                                                       ]",The cow chases the dog. The dog chases the cow. The cow sees the dog.  If something chases the dog then it is green. If the cow does not see the dog and the dog does not chase the cow then the cow is big. If something chases the cow and the cow does not visit the dog then the cow is not red. If something chases the cow and the cow chases the dog then it does not visit the cow. If something sees the cow and the cow chases the dog then the dog sees the cow. If something is green then it sees the cow. If something chases the cow then it does not visit the dog. If something sees the cow and the cow does not chase the dog then it does not chase the cow. ,The dog sees the cow.,3
False,3,5,"[array(['Erin is red.', 'Erin is red.'], dtype=object)]","[array(['Red things are nice.',
        'If something is red and nice then it is cold.',
        'Cold things are rough.'], dtype=object)        ]","Erin is red. Fiona is rough. Dave is nice. Dave is red. Gary is cold. Gary is not smart. Gary is rough. Fiona is round. Gary is green. Gary is red.  Cold things are rough. If something is nice and not cold then it is green. If something is red and nice then it is cold. Red things are nice. Rough, nice things are round. Smart, round things are nice. All round things are green. ",Erin is not rough.,3
True,3,5,"[array(['The dog is round.', 'The dog eats the bear.'], dtype=object)
 array(['The dog is round.', 'The bear chases the dog.',
        'The dog chases the bear.'], dtype=object)
 array(['The dog is round.', 'The bear chases the dog.',
        'The dog is rough.'], dtype=object)
 array(['The dog is round.', 'The bear needs the dog.',
        'The dog chases the bear.'], dtype=object)
 array(['The dog is round.', 'The bear needs the dog.',
        'The dog is rough.'], dtype=object)            ]","[array(['If someone is round and they eat the bear then they need the dog.',
        'If someone needs the dog then they chase the dog.',
        'If someone chases the dog then they eat the dog.'], dtype=object)
 array(['If the bear chases the dog and the dog chases the bear then the dog eats the bear.',
        'If someone is round and they eat the bear then they need the dog.',
        'If someone needs the dog then they chase the dog.',
        'If someone chases the dog then they eat the dog.'], dtype=object)
 array(['If someone is rough then they chase the bear.',
        'If the bear chases the dog and the dog chases the bear then the dog eats the bear.',
        'If someone is round and they eat the bear then they need the dog.',
        'If someone needs the dog then they chase the dog.',
        'If someone chases the dog then they eat the dog.'], dtype=object)
 array(['If someone needs the dog then they chase the dog.',
        'If the bear chases the dog and the dog chases the bear then the dog eats the bear.',
        'If someone is round and they eat the bear then they need the dog.',
        'If someone needs the dog then they chase the dog.',
        'If someone chases the dog then they eat the dog.'], dtype=object)
 array(['If someone needs the dog then they chase the dog.',
        'If someone is rough then they chase the bear.',
        'If the bear chases the dog and the dog chases the bear then the dog eats the bear.',
        'If someone is round and they eat the bear then they need the dog.',
        'If someone needs the dog then they chase the dog.',
        'If someone chases the dog then they eat the dog.'], dtype=object)                   ]",The bear is round. The bear eats the dog. The dog is young. The dog is round. The bear is blue. The dog eats the bear. The dog chases the bear. The bear chases the dog. The bear is young. The bear needs the dog. The dog is kind. The bear is kind. The dog is rough. The dog needs the bear. The bear is rough. The dog is blue.  If someone is round and they eat the bear then they need the dog. If someone needs the bear and they are rough then the bear is blue. If someone needs the dog then they chase the dog. If someone is rough then they chase the bear. If someone chases the dog then they eat the dog. If the bear chases the dog and the dog chases the bear then the dog eats the bear. If the dog eats the bear then the bear needs the dog. If someone needs the bear then the bear is rough. ,The dog eats the dog.,3
