answer,depth,len,used_facts,used_rules,premise,hypothesis
False,1,2,"[array(['Bob is cold.'], dtype=object)
 array(['Bob is cold.', 'Bob is young.'], dtype=object)]","[array(['If something is cold then it is big.'], dtype=object)
 array(['All cold, young things are big.'], dtype=object)]","Anne is young. Anne is not quiet. Anne is furry. Bob is young. Bob is not quiet. Bob is furry. Anne is nice. Bob is not nice. Bob is cold. Anne is not big. If something is blue and not young then it is not cold. All quiet things are not blue. If something is nice and blue then it is big. If something is young and big then it is blue. If something is cold then it is big. If something is quiet then it is nice. If something is nice and not young then it is quiet. All cold, young things are big. ",Bob is not big.
True,1,2,"[array(['Bob is not rough.'], dtype=object)]","[array(['If Bob is not rough then Bob is green.'], dtype=object)]","Erin is smart. Dave is young. Bob is not rough. If Bob is not rough then Bob is green. If Erin is not young then Erin is quiet. If Erin is white and Erin is not blue then Erin is quiet. If Erin is white then Erin is not quiet. If something is white then it is smart. If Dave is young then Dave is quiet. Quiet, young things are green. If Dave is smart and Dave is green then Dave is blue. ",Bob is green.
False,1,2,"[array(['Dave is smart.'], dtype=object)]","[array(['If someone is smart then they are cold.'], dtype=object)]","Gary is nice. Fiona is nice. Dave is smart. Gary is cold. Fiona is young. Bob is furry. Dave is furry. Bob is cold. Fiona is big. Dave is big. All smart, cold people are young. If someone is smart then they are cold. ",Dave is not cold.
False,1,3,"[array(['Gary is blue.', 'Gary is nice.'], dtype=object)]","[array(['If someone is blue and nice then they are quiet.'], dtype=object)]",Erin is nice. Gary is nice. Gary is young. Harry is blue. Harry is quiet. Gary is round. Gary is green. Gary is smart. Harry is green. Harry is nice. Harry is smart. Harry is round. Erin is blue. Erin is smart. Gary is blue. If someone is blue and nice then they are quiet. ,Gary is not quiet.
True,1,2,"[array(['The cat likes the dog.'], dtype=object)]","[array(['If something likes the dog then the dog is cold.'], dtype=object)]",The cat likes the dog. The rabbit sees the cat. The bear is blue. The dog likes the cat. If something likes the dog then the dog is cold. If the dog chases the cat and the cat sees the rabbit then the cat chases the bear. ,The dog is cold.
False,1,2,"[array(['Fiona is kind.'], dtype=object)]","[array(['Kind things are not young.'], dtype=object)]",Bob is big. Fiona is kind. Erin is big. Bob is not smart. Harry is smart. Erin is young. Erin is smart. Kind things are not young. Rough things are not young. ,Fiona is young.
False,1,2,"[array(['Dave is big.'], dtype=object)]","[array(['Big things are not cold.'], dtype=object)]","Fiona is kind. Charlie is cold. Gary is green. Dave is big. If something is red then it is furry. All nice, cold things are red. If Gary is kind then Gary is not green. Big things are not cold. If Dave is furry and Dave is nice then Dave is not big. Big things are green. ",Dave is cold.
False,1,2,"[array(['The tiger is rough.'], dtype=object)]","[array(['If someone is rough then they chase the tiger.'], dtype=object)]",The tiger is cold. The rabbit needs the squirrel. The squirrel is blue. The squirrel sees the tiger. The squirrel is green. The bald eagle is cold. The tiger chases the squirrel. The rabbit is green. The tiger is rough. The squirrel needs the rabbit. The bald eagle sees the tiger. The tiger needs the squirrel. If someone is rough then they chase the tiger. If someone sees the bald eagle then the bald eagle chases the tiger. If someone is red then they see the rabbit. If someone chases the tiger and the tiger needs the rabbit then the tiger needs the bald eagle. If someone is rough and green then they need the bald eagle. If someone is rough and they see the bald eagle then the bald eagle is green. ,The tiger does not chase the tiger.
True,1,2,"[array(['Charlie is big.'], dtype=object)]","[array(['If something is big then it is red.'], dtype=object)]",Gary is young. Charlie is big. Fiona is furry. Gary is rough. Fiona is not young. Gary is white. Fiona is red. Charlie is not furry. Fiona is big. Fiona is not nice. If something is big then it is red. All young things are big. If something is white and not rough then it is nice. If something is red then it is not nice. If something is red and not furry then it is not nice. ,Charlie is red.
True,1,2,"[array(['Anne is round.'], dtype=object)]","[array(['Round people are green.'], dtype=object)]","Charlie is nice. Anne is round. Charlie is smart. Erin is quiet. Charlie is big. Anne is big. Charlie is cold. Charlie is quiet. Charlie is round. Anne is quiet. Charlie is green. Erin is smart. All quiet, nice people are smart. Quiet, nice people are smart. Round people are green. Round, smart people are nice. If someone is quiet and big then they are cold. Green people are smart. ",Anne is green.
False,1,2,"[array(['Erin is red.'], dtype=object)]","[array(['All red people are blue.'], dtype=object)]","Erin is red. Erin is cold. Bob is blue. Gary is kind. Charlie is blue. Bob is cold. Bob is green. Charlie is kind. Bob is red. Gary is furry. Kind people are blue. All furry, kind people are green. If someone is nice and green then they are furry. All red people are blue. All green, furry people are nice. All green people are nice. ",Erin is not blue.
False,1,2,"[array(['The cow visits the squirrel.'], dtype=object)]","[array(['If something visits the squirrel then the squirrel needs the cat.'],
       dtype=object)                                                         ]",The tiger chases the cow. The cow is cold. The cow visits the squirrel. The squirrel visits the tiger. The tiger visits the cat. The squirrel chases the cow. The tiger is kind. The cow needs the tiger. The cat needs the tiger. The cat needs the squirrel. The tiger is round. The cow is red. The cow visits the cat. The squirrel visits the cow. The cow chases the cat. If something visits the squirrel then the squirrel needs the cat. If something is cold then it is round. If something visits the cat and it is red then the cat is big. If the tiger needs the cow and the cow is cold then the tiger is round. If something needs the cat then the cat is cold. If something chases the tiger and it needs the cow then it visits the cow. ,The squirrel does not need the cat.
True,1,2,"[array(['The mouse is kind.'], dtype=object)]","[array(['If something is kind then it sees the mouse.'], dtype=object)]",The bald eagle does not see the lion. The bald eagle likes the lion. The cat is not cold. The mouse sees the bald eagle. The cat does not see the mouse. The bald eagle eats the mouse. The lion likes the cat. The mouse is kind. The cat sees the lion. The cat does not like the lion. The mouse eats the bald eagle. If something is red and not cold then it does not eat the cat. If something sees the bald eagle then it is rough. If something likes the bald eagle then it eats the lion. If something is rough then it likes the bald eagle. If the cat is kind and the cat likes the mouse then the cat does not see the lion. If something likes the mouse and the mouse does not eat the cat then the cat does not see the mouse. If something likes the bald eagle then the bald eagle is rough. If something is kind then it sees the mouse. ,The mouse sees the mouse.
True,1,2,"[array(['Anne is red.'], dtype=object)]","[array(['Red people are smart.'], dtype=object)]",Harry is not white. Bob is not smart. Anne is red. Charlie is smart. Red people are smart. ,Anne is smart.
True,1,2,"[array(['The rabbit is blue.'], dtype=object)]","[array(['All blue people are nice.'], dtype=object)]","The rabbit is blue. All nice people are red. All nice, red people are cold. All blue people are nice. If someone is young then they are red. Blue people are not young. All young people are not cold. ",The rabbit is nice.
False,1,2,"[array(['The cat is round.'], dtype=object)]","[array(['Round things are big.'], dtype=object)]",The cat likes the bald eagle. The bald eagle likes the lion. The bald eagle is round. The dog is big. The lion is blue. The cat is nice. The bald eagle visits the dog. The dog is blue. The cat likes the dog. The bald eagle is nice. The cat is green. The dog eats the cat. The cat is round. The cat visits the dog. If something is nice and green then it visits the bald eagle. Round things are big. If something eats the cat and the cat eats the dog then the cat eats the lion. If something visits the dog and it eats the lion then the lion is round. If the bald eagle likes the cat then the bald eagle visits the dog. If the bald eagle visits the lion then the lion is nice. If something is big then it eats the lion. ,The cat is not big.
False,1,2,"[array(['Dave is blue.'], dtype=object)
 array(['Dave is rough.', 'Dave is big.'], dtype=object)]","[array(['If someone is blue then they are green.'], dtype=object)
 array(['If someone is rough then they are nice.',
        'If someone is nice and big then they are blue.',
        'If someone is blue then they are green.'], dtype=object)]",Dave is blue. Erin is nice. Bob is big. Dave is young. Bob is rough. Dave is smart. Bob is nice. Bob is young. Erin is big. Dave is rough. Erin is young. Erin is blue. Erin is green. Erin is smart. Dave is big. If someone is nice then they are young. If someone is blue then they are green. If someone is nice then they are smart. If someone is nice and big then they are blue. If someone is green and young then they are rough. If someone is rough then they are nice. ,Dave is not green.
False,1,2,"[array(['Fiona is furry.'], dtype=object)]","[array(['If something is furry then it is smart.'], dtype=object)]","Bob is cold. Erin is kind. Fiona is furry. Furry, smart things are quiet. If something is furry then it is smart. ",Fiona is not smart.
False,1,2,"[array(['The squirrel needs the cat.'], dtype=object)]","[array(['If someone needs the cat then they visit the cat.'], dtype=object)]",The lion visits the cat. The squirrel is rough. The cat is red. The cat needs the lion. The squirrel is red. The cat is rough. The lion does not need the cat. The cat needs the squirrel. The cat likes the squirrel. The cat visits the squirrel. The squirrel needs the cat. The squirrel does not need the lion. The lion visits the squirrel. The cat does not visit the lion. The cat is green. If someone needs the cat then they visit the cat. If someone likes the cat then the cat likes the lion. If someone needs the lion and they do not like the cat then the cat likes the squirrel. If the lion is green and the lion does not like the cat then the cat does not need the lion. If someone likes the cat and the cat visits the lion then the cat needs the lion. If someone visits the cat and the cat does not need the squirrel then the cat likes the squirrel. ,The squirrel does not visit the cat.
False,1,2,"[array(['Anne is quiet.'], dtype=object)]","[array(['All quiet things are cold.'], dtype=object)]",Erin is not rough. Bob is quiet. Anne is young. Erin is quiet. Bob is rough. Anne is furry. Anne is big. Bob is kind. Bob is young. Erin is big. Erin is not furry. Erin is not kind. Bob is furry. Anne is quiet. Erin is young. Bob is cold. If Anne is young and Anne is kind then Anne is not furry. All quiet things are cold. ,Anne is not cold.
True,1,2,"[array(['Fiona is quiet.'], dtype=object)]","[array(['Quiet people are not blue.'], dtype=object)]","Dave is white. Fiona is rough. Anne is blue. Fiona is kind. Fiona is furry. Anne is white. Fiona is quiet. Anne is nice. Anne is not furry. Fiona is not nice. All blue, white people are nice. Quiet people are not blue. If Dave is rough and Dave is quiet then Dave is blue. If someone is quiet and white then they are kind. If Dave is white then Dave is blue. If someone is nice and not quiet then they are not rough. All nice, white people are not furry. If someone is rough and not blue then they are furry. ",Fiona is not blue.
True,1,2,"[array(['The tiger needs the rabbit.'], dtype=object)]","[array(['If something needs the rabbit then it visits the rabbit.'],
       dtype=object)                                                ]",The rabbit is big. The tiger needs the rabbit. The tiger sees the rabbit. The bald eagle is round. The bald eagle needs the rabbit. The tiger is big. The tiger needs the bald eagle. The bald eagle is cold. The rabbit is green. The rabbit needs the bald eagle. The bald eagle sees the tiger. The bald eagle needs the tiger. The rabbit is blue. The bald eagle sees the rabbit. The rabbit sees the bald eagle. If something is round and it needs the rabbit then it sees the bald eagle. If something is round and it visits the rabbit then it sees the tiger. If something sees the rabbit then it is round. If the tiger sees the bald eagle then the bald eagle visits the tiger. If something needs the rabbit then it visits the rabbit. If the rabbit is round and the rabbit is green then the rabbit sees the bald eagle. ,The tiger visits the rabbit.
True,1,2,"[array(['The squirrel visits the bear.'], dtype=object)]","[array(['If someone visits the bear then they visit the squirrel.'],
       dtype=object)                                                ]",The squirrel is blue. The squirrel is green. The bear likes the squirrel. The squirrel visits the bear. The squirrel likes the bear. The squirrel sees the bear. The bear visits the squirrel. If someone visits the squirrel and they visit the bear then they are round. If someone visits the bear then they visit the squirrel. ,The squirrel visits the squirrel.
True,1,2,"[array(['Charlie is green.'], dtype=object)]","[array(['If someone is green then they are not round.'], dtype=object)]",Erin is nice. Anne is kind. Fiona is kind. Anne is furry. Fiona is furry. Fiona is round. Anne is quiet. Erin is furry. Charlie is green. Fiona is not nice. Anne is not nice. Erin is round. If Erin is green then Erin is quiet. If Charlie is round then Charlie is kind. If someone is smart then they are furry. If Charlie is not round then Charlie is smart. If someone is green then they are not round. If someone is round and not quiet then they are furry. ,Charlie is not round.
True,1,2,"[array(['Fiona is kind.'], dtype=object)]","[array(['All kind things are blue.'], dtype=object)]",Gary is big. Fiona is rough. Bob is blue. Gary is blue. Bob is rough. Fiona is kind. Gary is furry. Gary is young. Fiona is furry. Gary is rough. Bob is young. Gary is round. Bob is furry. Dave is furry. Dave is round. Fiona is young. Blue things are round. All kind things are blue. ,Fiona is blue.
False,1,2,"[array(['Bob is quiet.'], dtype=object)
 array(['Bob is furry.'], dtype=object)]","[array(['Quiet things are red.'], dtype=object)
 array(['If something is furry then it is quiet.', 'Quiet things are red.'],
       dtype=object)                                                        ]","Bob is quiet. Charlie is smart. Charlie is young. Bob is young. Charlie is quiet. Bob is smart. Bob is furry. Charlie is red. Charlie is furry. Charlie is green. Charlie is white. Bob is green. If something is furry then it is quiet. White, smart things are quiet. If Bob is green and Bob is red then Bob is white. Quiet things are red. If something is smart and white then it is young. Furry things are smart. ",Bob is not red.
True,1,2,"[array(['Harry is quiet.'], dtype=object)]","[array(['If Harry is quiet then Harry is smart.'], dtype=object)]",Gary is nice. Harry is cold. Harry is furry. Gary is cold. Gary is rough. Harry is quiet. Gary is round. Gary is smart. Charlie is round. Harry is nice. Gary is quiet. Harry is round. Charlie is furry. Charlie is rough. Gary is furry. If Gary is nice then Gary is quiet. If Harry is quiet then Harry is smart. All rough people are furry. ,Harry is smart.
False,1,3,"[array(['The tiger sees the mouse.', 'The mouse needs the tiger.'],
       dtype=object)                                               ]","[array(['If someone sees the mouse and the mouse needs the tiger then they need the tiger.'],
       dtype=object)                                                                         ]",The mouse is big. The tiger is cold. The tiger needs the mouse. The tiger is big. The tiger is kind. The mouse eats the tiger. The mouse sees the tiger. The mouse is blue. The tiger eats the mouse. The tiger is young. The tiger sees the mouse. The mouse is kind. The mouse needs the tiger. The mouse is young. The mouse is cold. The tiger is blue. If someone sees the mouse and the mouse needs the tiger then they need the tiger. ,The tiger does not need the tiger.
False,1,2,"[array(['The bald eagle likes the cat.'], dtype=object)]","[array(['If something likes the cat then the cat is not round.'],
       dtype=object)                                             ]",The cat is cold. The squirrel eats the lion. The lion is kind. The bald eagle likes the cat. If something likes the bald eagle then it likes the squirrel. If something likes the bald eagle and it is cold then the bald eagle eats the squirrel. If something chases the squirrel then it is big. If something is kind then it does not eat the squirrel. If something likes the cat then the cat is not round. If something eats the bald eagle then it is round. ,The cat is round.
True,1,2,"[array(['The lion needs the bear.'], dtype=object)]","[array(['If something needs the bear then it is cold.'], dtype=object)]",The lion needs the bear. The dog likes the lion. The tiger is green. The bear visits the lion. If something visits the dog then it visits the bear. If something needs the bear then it is cold. ,The lion is cold.
True,1,2,"[array(['The bald eagle chases the rabbit.'], dtype=object)]","[array(['If the bald eagle chases the rabbit then the bald eagle does not like the rabbit.'],
       dtype=object)                                                                         ]",The rabbit is green. The bald eagle chases the rabbit. If someone chases the bald eagle and the bald eagle does not chase the rabbit then they are green. If the rabbit chases the bald eagle and the rabbit eats the bald eagle then the bald eagle does not eat the rabbit. If the bald eagle chases the rabbit then the bald eagle does not like the rabbit. If someone eats the bald eagle and the bald eagle likes the rabbit then they are nice. If the rabbit is nice and the rabbit eats the bald eagle then the rabbit likes the bald eagle. If someone is round and they eat the rabbit then the rabbit eats the bald eagle. ,The bald eagle does not like the rabbit.
False,1,2,"[array(['Fiona is blue.'], dtype=object)]","[array(['Blue people are not furry.'], dtype=object)]","Fiona is blue. Harry is not white. Anne is kind. Dave is not green. If someone is kind then they are white. Blue people are not furry. If someone is kind and cold then they are white. If someone is round and not blue then they are white. All round people are cold. All furry, cold people are kind. All kind, white people are round. All green people are kind. ",Fiona is furry.
True,1,2,"[array(['The rabbit is round.'], dtype=object)]","[array(['All round things are young.'], dtype=object)]","The rabbit is round. Cold things are rough. All rough things are cold. All red things are round. All young things are round. All round things are young. All red, cold things are round. If the rabbit is young then the rabbit is rough. Rough things are red. ",The rabbit is young.
True,1,2,"[array(['Erin is green.'], dtype=object)]","[array(['All green things are furry.'], dtype=object)]","Harry is rough. Erin is green. Bob is green. Fiona is furry. White things are green. Cold, kind things are white. Green, furry things are cold. Furry, kind things are rough. Smart things are kind. If Bob is cold then Bob is smart. If Erin is smart then Erin is green. All green things are furry. ",Erin is furry.
True,1,2,"[array(['The squirrel visits the dog.'], dtype=object)]","[array(['If something visits the dog then the dog does not like the bear.'],
       dtype=object)                                                        ]",The dog does not like the squirrel. The squirrel needs the bear. The squirrel visits the dog. The bear likes the squirrel. The squirrel likes the bear. The cat does not need the bear. The cat needs the dog. If something visits the dog then the dog does not like the bear. If the cat likes the bear and the cat is cold then the cat visits the dog. ,The dog does not like the bear.
False,1,2,"[array(['The bear needs the squirrel.'], dtype=object)
 array(['The bear needs the cat.'], dtype=object)]","[array(['If something needs the squirrel then it sees the bear.'],
       dtype=object)
 array(['If something needs the cat then it needs the squirrel.',
        'If something needs the squirrel then it sees the bear.'],
       dtype=object)                                              ]",The bald eagle chases the squirrel. The bear is not big. The bear is round. The cat is cold. The squirrel chases the bear. The squirrel is cold. The bear is not young. The cat chases the bear. The cat sees the squirrel. The cat chases the bald eagle. The squirrel is green. The squirrel sees the bear. The bear needs the cat. The squirrel is round. The squirrel chases the cat. The bear needs the squirrel. If something needs the cat then it needs the squirrel. If something chases the bear and the bear does not see the squirrel then the squirrel is big. If something is round and it chases the cat then it chases the squirrel. If something is young and it chases the squirrel then the squirrel sees the cat. If something sees the cat and the cat sees the squirrel then the cat chases the bald eagle. If something needs the squirrel then it sees the bear. If something is young then it sees the bear. If something chases the squirrel and it is round then the squirrel is young. ,The bear does not see the bear.
False,1,2,"[array(['The tiger is green.'], dtype=object)]","[array(['If someone is green then they are big.'], dtype=object)]",The bald eagle is rough. The rabbit is nice. The tiger needs the rabbit. The rabbit needs the tiger. The bald eagle needs the rabbit. The tiger is green. The tiger visits the rabbit. The bald eagle is young. The tiger visits the bald eagle. The tiger is rough. The tiger is nice. The bald eagle is nice. The bald eagle visits the rabbit. The rabbit visits the tiger. The rabbit sees the bald eagle. If someone is green then they do not need the tiger. If someone is green then they are big. If someone visits the rabbit and they do not need the tiger then the rabbit sees the tiger. If someone sees the bald eagle and they do not visit the bald eagle then they see the tiger. If someone visits the rabbit and they do not see the bald eagle then they do not visit the bald eagle. If the tiger is not young then the tiger sees the bald eagle. ,The tiger is not big.
False,1,2,"[array(['The rabbit chases the cat.'], dtype=object)]","[array(['If something chases the cat then it is green.'], dtype=object)]",The cat sees the squirrel. The bear visits the cat. The squirrel does not visit the bear. The rabbit chases the cat. If something is blue and it chases the rabbit then the rabbit does not chase the squirrel. If something sees the cat then the cat chases the rabbit. If something is blue and it sees the squirrel then it sees the cat. If something visits the cat then it is not blue. If something sees the squirrel then the squirrel visits the cat. If something chases the cat then it is green. ,The rabbit is not green.
False,1,2,"[array(['The bald eagle visits the mouse.'], dtype=object)]","[array(['If something visits the mouse then it sees the bald eagle.'],
       dtype=object)                                                  ]",The bald eagle is rough. The bald eagle likes the mouse. The bald eagle sees the mouse. The mouse is round. The mouse is nice. The bald eagle visits the mouse. The mouse is red. The mouse likes the bald eagle. The bald eagle is nice. The mouse does not see the bald eagle. If something sees the bald eagle and it does not like the mouse then the mouse is not blue. If something visits the mouse then it sees the bald eagle. If something visits the mouse then the mouse likes the bald eagle. ,The bald eagle does not see the bald eagle.
True,1,2,"[array(['The cat is red.'], dtype=object)]","[array(['If something is red then it chases the cat.'], dtype=object)]",The tiger is not red. The cat is red. The tiger visits the cat. The tiger eats the cat. The cat visits the tiger. The tiger is not round. The tiger is nice. If something is red then it chases the cat. If something visits the tiger then it is blue. If something visits the tiger then the tiger eats the cat. If something chases the cat and it is blue then the cat is young. If something chases the cat then it is red. If something chases the cat and it chases the tiger then the tiger is red. If something chases the cat and it is not round then the cat is red. If something visits the tiger and the tiger chases the cat then the cat visits the tiger. ,The cat chases the cat.
True,1,2,"[array(['Anne is smart.'], dtype=object)]","[array(['If something is smart then it is furry.'], dtype=object)]",Anne is smart. Gary is big. Charlie is big. If something is big and furry then it is quiet. If something is cold and not smart then it is not rough. If something is cold and rough then it is white. If something is smart then it is furry. Furry things are white. If something is rough then it is white. ,Anne is furry.
False,1,2,"[array(['Bob is big.'], dtype=object)]","[array(['All big people are kind.'], dtype=object)]","Fiona is nice. Bob is big. Dave is nice. Bob is blue. Erin is young. Erin is furry. Fiona is smart. Erin is blue. Dave is kind. Dave is big. All big people are kind. Kind people are smart. Furry people are blue. If someone is blue and young then they are nice. If someone is kind and smart then they are nice. All blue, furry people are smart. All big, kind people are young. If Fiona is nice then Fiona is kind. ",Bob is not kind.
False,1,2,"[array(['The bear is blue.'], dtype=object)]","[array(['If someone is blue then they like the bear.'], dtype=object)]",The rabbit chases the bear. The lion visits the bear. The rabbit likes the cow. The lion likes the rabbit. The bear is blue. The bear likes the cow. The cow chases the bear. The bear is young. The bear visits the cow. The rabbit likes the bear. The rabbit visits the cow. The cow is blue. The rabbit visits the bear. The rabbit is blue. The cow likes the lion. The lion chases the cow. If someone is blue and they visit the rabbit then the rabbit is young. If someone is blue then they like the bear. ,The bear does not like the bear.
True,1,2,"[array(['The tiger visits the dog.'], dtype=object)]","[array(['If someone visits the dog then they visit the mouse.'],
       dtype=object)                                            ]",The mouse chases the lion. The dog visits the lion. The tiger visits the lion. The tiger is not rough. The tiger visits the dog. The tiger chases the mouse. The lion chases the mouse. The lion is big. The dog is rough. The lion is rough. The mouse is young. The mouse is rough. If someone is round then they chase the dog. If the lion is nice and the dog does not visit the lion then the dog visits the tiger. If someone visits the dog then they visit the mouse. If someone is young and they do not visit the mouse then the mouse chases the lion. If someone visits the mouse then the mouse needs the tiger. If someone needs the lion and they do not need the dog then the lion is young. ,The tiger visits the mouse.
False,1,2,"[array(['The dog needs the cow.'], dtype=object)]","[array(['If someone needs the cow then they like the cow.'], dtype=object)]",The cow needs the dog. The bald eagle needs the cow. The dog needs the cow. If someone needs the cow then they like the cow. If the dog sees the bald eagle and the dog likes the cow then the cow likes the dog. If someone likes the bald eagle then the bald eagle does not like the cow. ,The dog does not like the cow.
False,1,3,"[array(['The bear chases the lion.', 'The lion needs the bear.'],
       dtype=object)                                             ]","[array(['If something chases the lion and the lion needs the bear then the bear needs the lion.'],
       dtype=object)                                                                              ]",The bear chases the lion. The bear is kind. The lion needs the bear. If something needs the lion then it needs the bear. If something needs the bear and the bear is kind then it sees the bear. If something chases the lion and the lion needs the bear then the bear needs the lion. ,The bear does not need the lion.
False,1,2,"[array(['The rabbit chases the mouse.'], dtype=object)]","[array(['If someone chases the mouse then the mouse likes the cow.'],
       dtype=object)                                                 ]",The cow needs the dog. The dog does not chase the mouse. The rabbit chases the mouse. The mouse is rough. If someone chases the dog and they do not like the rabbit then they are green. If someone is rough and not big then they need the rabbit. If someone chases the rabbit and the rabbit likes the dog then they do not like the dog. If someone chases the mouse then the mouse likes the cow. If the mouse does not need the dog and the dog is not round then the mouse is not big. If someone likes the cow then the cow is round. If someone needs the rabbit then they chase the rabbit. If the mouse needs the dog and the dog likes the rabbit then the mouse likes the dog. ,The mouse does not like the cow.
False,1,2,"[array(['Bob is big.'], dtype=object)]","[array(['If something is big then it is cold.'], dtype=object)]","Dave is white. Bob is big. Anne is round. Anne is cold. Anne is blue. Anne is furry. Anne is red. Harry is big. Anne is white. Harry is red. Harry is white. Dave is round. All blue things are white. If something is cold and furry then it is white. If something is cold then it is red. Furry, blue things are red. If Anne is cold and Anne is red then Anne is big. All red things are round. If something is round and big then it is blue. If something is big then it is cold. ",Bob is not cold.
False,1,2,"[array(['The bear likes the rabbit.'], dtype=object)]","[array(['If something likes the rabbit then it chases the bear.'],
       dtype=object)                                              ]",The mouse likes the bear. The bear likes the rabbit. The rabbit likes the bear. The lion is nice. If something likes the rabbit then it chases the bear. If something chases the bear then the bear is nice. If something visits the mouse and it likes the mouse then the mouse is young. ,The bear does not chase the bear.
True,1,2,"[array(['Gary is nice.'], dtype=object)]","[array(['All nice things are white.'], dtype=object)]","Gary is nice. Bob is blue. Bob is nice. Gary is cold. Bob is white. Gary is green. Charlie is cold. Charlie is round. Charlie is green. Gary is red. Harry is round. Bob is cold. Bob is green. Bob is round. Bob is red. Gary is blue. If something is nice then it is green. All cold things are blue. All nice things are white. All white, round things are red. White, red things are cold. If Harry is round then Harry is nice. ",Gary is white.
