question,answer,ground_truth,query
 Each snake is small. Vertebrates are bright. Snakes are mammals. Mammals are not mean. Every mammal is an animal. Animals are not bright. Animals are carnivores. Each carnivore is not luminous. Every carnivore is a sheep. Each sheep is feisty. Each sheep is a dog. Dogs are opaque. Every dog is a cat. Sam is an animal. Is the following statement true or false? Sam is bright., Sam is an animal. Animals are not bright. Sam is not bright. ,False,Sam is bright
 Ants are not red. Ants are spiders. Spiders are dull. Spiders are moths. Moths are cold. Moths are insects. Each insect is spicy. Insects are invertebrates. Each invertebrate is not opaque. Every invertebrate is an arthropod. Each arthropod is not luminous. Arthropods are animals. Every animal is not floral. Animals are butterflies. Every butterfly is mean. Each butterfly is a crustacean. Lepidopterans are opaque. Alex is an invertebrate. Is the following statement true or false? Alex is not opaque., Alex is an invertebrate. Each invertebrate is not opaque. Alex is not opaque. ,True,Alex is not opaque
 Every mammal is small. Mammals are cats. Every cat is opaque. Each cat is a vertebrate. Each vertebrate is floral. Each vertebrate is an animal. Each animal is spicy. Every animal is a feline. Felines are not feisty. Felines are cows. Cows are cold. Cows are dogs. Every dog is not orange. Every dog is a carnivore. Snakes are orange. Carnivores are kind. Each carnivore is a sheep. Stella is a dog. Is the following statement true or false? Stella is not orange., Stella is a dog. Every dog is not orange. Stella is not orange. ,True,Stella is not orange
 Every number is blue. Numbers are composite numbers. Composite numbers are not floral. Composite numbers are prime numbers. Prime numbers are sweet. Prime numbers are Mersenne primes. Mersenne primes are mean. Each Mersenne prime is a negative number. Each negative number is not bright. Negative numbers are fractions. Every fraction is feisty. Fractions are natural numbers. Each natural number is cold. Every natural number is an even number. Real numbers are floral. Even numbers are wooden. Even numbers are integers. Rex is a composite number. Is the following statement true or false? Rex is not floral., Rex is a composite number. Composite numbers are not floral. Rex is not floral. ,True,Rex is not floral
 Real numbers are bright. Every natural number is not earthy. Natural numbers are even numbers. Even numbers are not bright. Every even number is a negative number. Negative numbers are temperate. Every negative number is a prime number. Wren is an even number. Is the following statement true or false? Wren is not bright., Wren is an even number. Even numbers are not bright. Wren is not bright. ,True,Wren is not bright
 Numbers are fruity. Each number is a real number. Real numbers are brown. Real numbers are fractions. Each fraction is shy. Every fraction is a Mersenne prime. Every Mersenne prime is hot. Each Mersenne prime is a composite number. Composite numbers are transparent. Every composite number is a prime number. Each prime number is amenable. Even numbers are not fruity. Prime numbers are natural numbers. Natural numbers are large. Natural numbers are integers. Every integer is metallic. Each integer is a negative number. Stella is a number. Is the following statement true or false? Stella is not fruity., Stella is a number. Numbers are fruity. Stella is fruity. ,False,Stella is not fruity
 Every feline is orange. Every animal is not bright. Felines are sheep. Each sheep is bright. Each sheep is a cow. Every cow is not shy. Cows are snakes. Snakes are not wooden. Snakes are mammals. Mammals are floral. Mammals are dogs. Every dog is not large. Each dog is a vertebrate. Every vertebrate is not transparent. Every vertebrate is a carnivore. Wren is a sheep. Is the following statement true or false? Wren is bright., Wren is a sheep. Each sheep is bright. Wren is bright. ,True,Wren is bright
 Mersenne primes are not large. Mersenne primes are numbers. Integers are aggressive. Numbers are transparent. Every number is a composite number. Composite numbers are not aggressive. Every composite number is a fraction. Each fraction is liquid. Fractions are natural numbers. Max is a composite number. Is the following statement true or false? Max is aggressive., Max is a composite number. Composite numbers are not aggressive. Max is not aggressive. ,False,Max is aggressive
 Mersenne primes are bright. Numbers are not bright. Mersenne primes are even numbers. Every even number is transparent. Even numbers are composite numbers. Rex is a Mersenne prime. Is the following statement true or false? Rex is bright., Rex is a Mersenne prime. Mersenne primes are bright. Rex is bright. ,True,Rex is bright
 Each moth is temperate. Each moth is a crustacean. Each crustacean is not opaque. Crustaceans are butterflies. Butterflies are not aggressive. Butterflies are spiders. Spiders are not luminous. Spiders are animals. Each animal is dull. Animals are ants. Insects are aggressive. Ants are large. Ants are arthropods. Each arthropod is not sweet. Every arthropod is an invertebrate. Invertebrates are shy. Invertebrates are lepidopterans. Wren is a butterfly. Is the following statement true or false? Wren is aggressive., Wren is a butterfly. Butterflies are not aggressive. Wren is not aggressive. ,False,Wren is aggressive
 Every vertebrate is floral. Vertebrates are snakes. Snakes are not mean. Each snake is a sheep. Mammals are not floral. Every sheep is not wooden. Sheep are felines. Every feline is not bright. Felines are cats. Stella is a vertebrate. Is the following statement true or false? Stella is floral., Stella is a vertebrate. Every vertebrate is floral. Stella is floral. ,True,Stella is floral
 Every snake is not temperate. Snakes are vertebrates. Each vertebrate is not orange. Every vertebrate is a mammal. Mammals are not wooden. Mammals are dogs. Every dog is opaque. Dogs are cows. Each cat is orange. Cows are small. Every cow is a sheep. Sheep are nervous. Sheep are animals. Animals are dull. Every animal is a carnivore. Carnivores are floral. Carnivores are felines. Max is a vertebrate. Is the following statement true or false? Max is not orange., Max is a vertebrate. Each vertebrate is not orange. Max is not orange. ,True,Max is not orange
 Each composite number is liquid. Every composite number is a number. Every number is red. Each number is a prime number. Prime numbers are floral. Each prime number is a Mersenne prime. Every Mersenne prime is sweet. Every Mersenne prime is a fraction. Fractions are not large. Each natural number is large. Fractions are real numbers. Real numbers are hot. Each real number is an integer. Integers are not aggressive. Each integer is a negative number. Every negative number is happy. Every negative number is an even number. Max is a fraction. Is the following statement true or false? Max is not large., Max is a fraction. Fractions are not large. Max is not large. ,True,Max is not large
 Every carnivore is mean. Every vertebrate is not dull. Each carnivore is a mammal. Mammals are not shy. Each mammal is a dog. Dogs are not fruity. Every dog is a cow. Cows are not opaque. Cows are snakes. Snakes are spicy. Each snake is an animal. Animals are temperate. Animals are cats. Each cat is dull. Cats are sheep. Sheep are small. Each sheep is a feline. Rex is a cat. Is the following statement true or false? Rex is dull., Rex is a cat. Each cat is dull. Rex is dull. ,True,Rex is dull
 Each vertebrate is temperate. Each vertebrate is a carnivore. Every carnivore is luminous. Every carnivore is a snake. Snakes are not small. Every snake is a cat. Cats are not bitter. Cats are cows. Each feline is small. Cows are not red. Each cow is a dog. Dogs are bright. Each dog is an animal. Each animal is not earthy. Animals are sheep. Sheep are kind. Sheep are mammals. Polly is a snake. Is the following statement true or false? Polly is small., Polly is a snake. Snakes are not small. Polly is not small. ,False,Polly is small
 Each Mersenne prime is not sour. Each Mersenne prime is a prime number. Each prime number is earthy. Prime numbers are composite numbers. Every composite number is hot. Composite numbers are natural numbers. Numbers are sour. Every natural number is dull. Natural numbers are even numbers. Fae is a Mersenne prime. Is the following statement true or false? Fae is sour., Fae is a Mersenne prime. Each Mersenne prime is not sour. Fae is not sour. ,False,Fae is sour
 Natural numbers are not small. Every natural number is a prime number. Prime numbers are blue. Prime numbers are Mersenne primes. Every Mersenne prime is opaque. Mersenne primes are even numbers. Negative numbers are small. Every even number is bright. Every even number is a number. Each number is not temperate. Numbers are composite numbers. Composite numbers are liquid. Each composite number is an integer. Every integer is not happy. Every integer is a fraction. Fractions are sour. Fractions are real numbers. Stella is a natural number. Is the following statement true or false? Stella is small., Stella is a natural number. Natural numbers are not small. Stella is not small. ,False,Stella is small
 Every moth is fruity. Arthropods are happy. Arthropods are lepidopterans. Lepidopterans are not fruity. Each lepidopteran is a crustacean. Each crustacean is cold. Crustaceans are spiders. Max is a lepidopteran. Is the following statement true or false? Max is fruity., Max is a lepidopteran. Lepidopterans are not fruity. Max is not fruity. ,False,Max is fruity
 Natural numbers are sweet. Each natural number is a Mersenne prime. Every Mersenne prime is not kind. Mersenne primes are prime numbers. Every prime number is temperate. Real numbers are not temperate. Each prime number is a negative number. Negative numbers are fruity. Every negative number is a number. Numbers are dull. Every number is a fraction. Alex is a prime number. Is the following statement true or false? Alex is not temperate., Alex is a prime number. Every prime number is temperate. Alex is temperate. ,False,Alex is not temperate
 Every dog is not nervous. Vertebrates are nervous. Vertebrates are cows. Cows are transparent. Cows are animals. Polly is a vertebrate. Is the following statement true or false? Polly is not nervous., Polly is a vertebrate. Vertebrates are nervous. Polly is nervous. ,False,Polly is not nervous
 Each Mersenne prime is not sour. Mersenne primes are natural numbers. Natural numbers are happy. Every natural number is an even number. Even numbers are not red. Even numbers are real numbers. Each real number is transparent. Real numbers are negative numbers. Negative numbers are not bright. Each negative number is a fraction. Fractions are liquid. Fractions are numbers. Every number is mean. Numbers are prime numbers. Every prime number is not fruity. Composite numbers are red. Prime numbers are integers. Fae is an even number. Is the following statement true or false? Fae is red., Fae is an even number. Even numbers are not red. Fae is not red. ,False,Fae is red
 Every butterfly is large. Each butterfly is an ant. Ants are not feisty. Ants are spiders. Spiders are cold. Spiders are arthropods. Every arthropod is sour. Every arthropod is a moth. Every invertebrate is not large. Moths are dull. Each moth is an animal. Fae is a butterfly. Is the following statement true or false? Fae is not large., Fae is a butterfly. Every butterfly is large. Fae is large. ,False,Fae is not large
 Mersenne primes are not earthy. Every Mersenne prime is a fraction. Fractions are small. Fractions are even numbers. Prime numbers are earthy. Fae is a Mersenne prime. Is the following statement true or false? Fae is earthy., Fae is a Mersenne prime. Mersenne primes are not earthy. Fae is not earthy. ,False,Fae is earthy
 Every spider is blue. Spiders are animals. Animals are earthy. Animals are ants. Ants are shy. Every ant is an invertebrate. Every lepidopteran is not earthy. Invertebrates are spicy. Each invertebrate is an arthropod. Every arthropod is temperate. Each arthropod is a moth. Max is an animal. Is the following statement true or false? Max is earthy., Max is an animal. Animals are earthy. Max is earthy. ,True,Max is earthy
 Mersenne primes are floral. Each Mersenne prime is a fraction. Fractions are not aggressive. Fractions are prime numbers. Prime numbers are dull. Each prime number is a number. Every number is not sour. Numbers are natural numbers. Every natural number is not shy. Each natural number is a negative number. Negative numbers are small. Negative numbers are real numbers. Each real number is not blue. Each real number is an even number. Integers are blue. Each even number is not hot. Even numbers are composite numbers. Max is a real number. Is the following statement true or false? Max is blue., Max is a real number. Each real number is not blue. Max is not blue. ,False,Max is blue
 Integers are not hot. Integers are prime numbers. Prime numbers are small. Every prime number is a natural number. Each number is not small. Every natural number is feisty. Each natural number is a real number. Alex is a prime number. Is the following statement true or false? Alex is not small., Alex is a prime number. Prime numbers are small. Alex is small. ,False,Alex is not small
 Real numbers are hot. Every real number is a number. Numbers are orange. Each number is a negative number. Every negative number is sour. Negative numbers are composite numbers. Composite numbers are small. Composite numbers are even numbers. Even numbers are shy. Every even number is a natural number. Every natural number is floral. Every natural number is an integer. Each integer is not kind. Each integer is a Mersenne prime. Mersenne primes are transparent. Mersenne primes are prime numbers. Fractions are kind. Sam is an integer. Is the following statement true or false? Sam is kind., Sam is an integer. Each integer is not kind. Sam is not kind. ,False,Sam is kind
 Sheep are not opaque. Every cat is not feisty. Sheep are cows. Every cow is amenable. Cows are dogs. Each dog is not blue. Every dog is a carnivore. Each carnivore is feisty. Every carnivore is a vertebrate. Vertebrates are dull. Vertebrates are animals. Each animal is sour. Animals are mammals. Every mammal is earthy. Mammals are felines. Felines are large. Felines are snakes. Fae is a carnivore. Is the following statement true or false? Fae is not feisty., Fae is a carnivore. Each carnivore is feisty. Fae is feisty. ,False,Fae is not feisty
 Each butterfly is luminous. Butterflies are crustaceans. Each crustacean is floral. Crustaceans are spiders. Every spider is hot. Every spider is an invertebrate. Every invertebrate is opaque. Invertebrates are insects. Every insect is bitter. Insects are arthropods. Arthropods are not blue. Every arthropod is an ant. Ants are not small. Each ant is a moth. Every lepidopteran is not hot. Max is a spider. Is the following statement true or false? Max is not hot., Max is a spider. Every spider is hot. Max is hot. ,False,Max is not hot
 Every spider is not red. Spiders are arthropods. Arthropods are luminous. Each arthropod is a crustacean. Every butterfly is not dull. Every crustacean is dull. Every crustacean is an animal. Animals are floral. Every animal is a lepidopteran. Lepidopterans are amenable. Lepidopterans are invertebrates. Rex is a crustacean. Is the following statement true or false? Rex is not dull., Rex is a crustacean. Every crustacean is dull. Rex is dull. ,False,Rex is not dull
 Mammals are not metallic. Every mammal is an animal. Animals are not small. Each animal is a sheep. Sheep are bright. Sheep are dogs. Each dog is opaque. Each dog is a vertebrate. Vertebrates are cold. Each cat is small. Vertebrates are felines. Each feline is not earthy. Felines are cows. Cows are feisty. Each cow is a snake. Snakes are sweet. Every snake is a carnivore. Fae is an animal. Is the following statement true or false? Fae is not small., Fae is an animal. Animals are not small. Fae is not small. ,True,Fae is not small
 Every natural number is orange. Every natural number is a real number. Each real number is sour. Every real number is a prime number. Prime numbers are fruity. Prime numbers are numbers. Numbers are metallic. Each number is a fraction. Each fraction is not hot. Every fraction is an integer. Integers are shy. Every integer is a composite number. Composite numbers are not bright. Mersenne primes are not fruity. Every composite number is an even number. Polly is a prime number. Is the following statement true or false? Polly is fruity., Polly is a prime number. Prime numbers are fruity. Polly is fruity. ,True,Polly is fruity
 Each butterfly is red. Every butterfly is an invertebrate. Invertebrates are mean. Every crustacean is hot. Invertebrates are spiders. Spiders are not hot. Each spider is an ant. Ants are bright. Ants are moths. Stella is a spider. Is the following statement true or false? Stella is not hot., Stella is a spider. Spiders are not hot. Stella is not hot. ,True,Stella is not hot
 Integers are not large. Every natural number is large. Integers are fractions. Each fraction is orange. Fractions are composite numbers. Composite numbers are not fruity. Every composite number is a real number. Real numbers are bright. Each real number is a Mersenne prime. Each Mersenne prime is nervous. Every Mersenne prime is a prime number. Every prime number is temperate. Every prime number is an even number. Each even number is spicy. Every even number is a negative number. Negative numbers are wooden. Every negative number is a number. Polly is an integer. Is the following statement true or false? Polly is large., Polly is an integer. Integers are not large. Polly is not large. ,False,Polly is large
 Each dog is sweet. Dogs are cats. Cats are transparent. Every cat is a cow. Each vertebrate is dull. Cows are not dull. Every cow is an animal. Each animal is hot. Each animal is a mammal. Mammals are fruity. Mammals are carnivores. Carnivores are not blue. Carnivores are sheep. Every sheep is small. Sheep are felines. Felines are not wooden. Felines are snakes. Fae is a cow. Is the following statement true or false? Fae is not dull., Fae is a cow. Cows are not dull. Fae is not dull. ,True,Fae is not dull
 Even numbers are not transparent. Even numbers are real numbers. Real numbers are not temperate. Every real number is an integer. Every integer is bright. Every prime number is transparent. Each integer is a Mersenne prime. Max is an even number. Is the following statement true or false? Max is transparent., Max is an even number. Even numbers are not transparent. Max is not transparent. ,False,Max is transparent
 Every arthropod is not happy. Each arthropod is a crustacean. Every crustacean is angry. Every crustacean is a moth. Insects are not angry. Every moth is luminous. Moths are animals. Sam is a crustacean. Is the following statement true or false? Sam is angry., Sam is a crustacean. Every crustacean is angry. Sam is angry. ,True,Sam is angry
 Cats are small. Cats are felines. Each feline is not cold. Every snake is blue. Every feline is an animal. Each animal is transparent. Animals are cows. Cows are not blue. Each cow is a sheep. Every sheep is spicy. Sheep are vertebrates. Vertebrates are luminous. Vertebrates are dogs. Dogs are not amenable. Dogs are carnivores. Every carnivore is bright. Every carnivore is a mammal. Alex is a cow. Is the following statement true or false? Alex is blue., Alex is a cow. Cows are not blue. Alex is not blue. ,False,Alex is blue
 Arthropods are kind. Arthropods are ants. Each ant is not large. Ants are butterflies. Butterflies are not opaque. Crustaceans are not metallic. Each butterfly is a spider. Each spider is brown. Spiders are lepidopterans. Lepidopterans are metallic. Lepidopterans are invertebrates. Invertebrates are not dull. Every invertebrate is an insect. Insects are earthy. Every insect is a moth. Moths are sweet. Each moth is an animal. Alex is a lepidopteran. Is the following statement true or false? Alex is not metallic., Alex is a lepidopteran. Lepidopterans are metallic. Alex is metallic. ,False,Alex is not metallic
 Every moth is sour. Moths are ants. Every ant is not opaque. Ants are spiders. Every spider is not brown. Every spider is a crustacean. Every lepidopteran is opaque. Crustaceans are large. Each crustacean is an animal. Each animal is not earthy. Animals are insects. Insects are dull. Each insect is an arthropod. Arthropods are amenable. Arthropods are invertebrates. Each invertebrate is hot. Every invertebrate is a butterfly. Polly is an ant. Is the following statement true or false? Polly is opaque., Polly is an ant. Every ant is not opaque. Polly is not opaque. ,False,Polly is opaque
 Invertebrates are blue. Every invertebrate is a crustacean. Each crustacean is cold. Each crustacean is a moth. Moths are large. Butterflies are not cold. Moths are lepidopterans. Max is a crustacean. Is the following statement true or false? Max is cold., Max is a crustacean. Each crustacean is cold. Max is cold. ,True,Max is cold
 Each even number is sour. Each even number is a composite number. Composite numbers are transparent. Composite numbers are real numbers. Each prime number is not sour. Wren is an even number. Is the following statement true or false? Wren is sour., Wren is an even number. Each even number is sour. Wren is sour. ,True,Wren is sour
 Every insect is shy. Insects are lepidopterans. Invertebrates are not shy. Every lepidopteran is not sweet. Lepidopterans are animals. Wren is an insect. Is the following statement true or false? Wren is shy., Wren is an insect. Every insect is shy. Wren is shy. ,True,Wren is shy
 Each arthropod is dull. Every arthropod is an animal. Animals are mean. Animals are crustaceans. Every crustacean is opaque. Crustaceans are spiders. Each lepidopteran is large. Spiders are nervous. Each spider is an invertebrate. Every invertebrate is metallic. Each invertebrate is a moth. Moths are not spicy. Every moth is a butterfly. Butterflies are not large. Each butterfly is an insect. Every insect is not floral. Every insect is an ant. Sally is a butterfly. Is the following statement true or false? Sally is not large., Sally is a butterfly. Butterflies are not large. Sally is not large. ,True,Sally is not large
 Each real number is orange. Real numbers are even numbers. Each even number is small. Even numbers are natural numbers. Natural numbers are happy. Natural numbers are fractions. Every fraction is dull. Fractions are numbers. Mersenne primes are not happy. Every number is opaque. Each number is a negative number. Each negative number is not aggressive. Each negative number is an integer. Each integer is not wooden. Integers are prime numbers. Prime numbers are bitter. Each prime number is a composite number. Sam is a natural number. Is the following statement true or false? Sam is happy., Sam is a natural number. Natural numbers are happy. Sam is happy. ,True,Sam is happy
