question,answer,ground_truth,query
 Composite numbers are shy. Each composite number is a number. Numbers are mean. Numbers are natural numbers. Each even number is opaque. Natural numbers are red. Natural numbers are Mersenne primes. Mersenne primes are hot. Each Mersenne prime is an integer. Every integer is not opaque. Every integer is a prime number. Prime numbers are small. Prime numbers are negative numbers. Negative numbers are not earthy. Negative numbers are real numbers. Real numbers are bright. Each real number is a fraction. Rex is a composite number. Is the following statement true or false? Rex is not opaque., Rex is a composite number. Each composite number is a number. Rex is a number. Numbers are natural numbers. Rex is a natural number. Natural numbers are Mersenne primes. Rex is a Mersenne prime. Each Mersenne prime is an integer. Rex is an integer. Every integer is not opaque. Rex is not opaque. ,True,Rex is not opaque
 Arthropods are not feisty. Arthropods are ants. Ants are not bright. Ants are spiders. Every spider is small. Each spider is an animal. Each animal is bitter. Animals are moths. Each moth is not transparent. Every moth is an invertebrate. Each invertebrate is cold. Each invertebrate is an insect. Insects are earthy. Insects are lepidopterans. Lepidopterans are not orange. Lepidopterans are butterflies. Each crustacean is transparent. Max is an arthropod. Is the following statement true or false? Max is not transparent., Max is an arthropod. Arthropods are ants. Max is an ant. Ants are spiders. Max is a spider. Each spider is an animal. Max is an animal. Animals are moths. Max is a moth. Each moth is not transparent. Max is not transparent. ,True,Max is not transparent
 Mammals are not luminous. Mammals are carnivores. Carnivores are happy. Carnivores are dogs. Each dog is red. Each dog is a sheep. Each sheep is hot. Each sheep is a snake. Each snake is transparent. Each cow is large. Snakes are felines. Felines are not large. Each feline is an animal. Animals are bright. Each animal is a vertebrate. Every vertebrate is earthy. Vertebrates are cats. Polly is a carnivore. Is the following statement true or false? Polly is large., Polly is a carnivore. Carnivores are dogs. Polly is a dog. Each dog is a sheep. Polly is a sheep. Each sheep is a snake. Polly is a snake. Snakes are felines. Polly is a feline. Felines are not large. Polly is not large. ,False,Polly is large
 Each cat is bitter. Cats are sheep. Sheep are not feisty. Each feline is not blue. Sheep are cows. Each cow is amenable. Cows are dogs. Every dog is wooden. Every dog is a vertebrate. Vertebrates are floral. Vertebrates are animals. Animals are blue. Every animal is a carnivore. Carnivores are not dull. Carnivores are snakes. Snakes are not opaque. Every snake is a mammal. Stella is a sheep. Is the following statement true or false? Stella is not blue., Stella is a sheep. Sheep are cows. Stella is a cow. Cows are dogs. Stella is a dog. Every dog is a vertebrate. Stella is a vertebrate. Vertebrates are animals. Stella is an animal. Animals are blue. Stella is blue. ,False,Stella is not blue
 Every fraction is not temperate. Each fraction is a natural number. Natural numbers are not opaque. Each natural number is an integer. Integers are bright. Integers are composite numbers. Composite numbers are nervous. Each composite number is a number. Each number is luminous. Numbers are Mersenne primes. Each even number is not sweet. Every Mersenne prime is orange. Every Mersenne prime is a negative number. Each negative number is sweet. Negative numbers are prime numbers. Prime numbers are not fruity. Each prime number is a real number. Polly is an integer. Is the following statement true or false? Polly is sweet., Polly is an integer. Integers are composite numbers. Polly is a composite number. Each composite number is a number. Polly is a number. Numbers are Mersenne primes. Polly is a Mersenne prime. Every Mersenne prime is a negative number. Polly is a negative number. Each negative number is sweet. Polly is sweet. ,True,Polly is sweet
 Prime numbers are red. Every prime number is a negative number. Every negative number is fruity. Negative numbers are natural numbers. Natural numbers are transparent. Natural numbers are real numbers. Real numbers are temperate. Real numbers are integers. Each integer is wooden. Each integer is an even number. Each even number is dull. Every even number is a Mersenne prime. Each Mersenne prime is not kind. Numbers are kind. Mersenne primes are fractions. Fractions are large. Every fraction is a composite number. Sally is a natural number. Is the following statement true or false? Sally is not kind., Sally is a natural number. Natural numbers are real numbers. Sally is a real number. Real numbers are integers. Sally is an integer. Each integer is an even number. Sally is an even number. Every even number is a Mersenne prime. Sally is a Mersenne prime. Each Mersenne prime is not kind. Sally is not kind. ,True,Sally is not kind
 Felines are orange. Sheep are not sour. Felines are mammals. Mammals are large. Each mammal is a vertebrate. Vertebrates are not hot. Vertebrates are cats. Every cat is not mean. Cats are dogs. Each dog is luminous. Dogs are carnivores. Carnivores are sour. Every carnivore is a cow. Cows are not bright. Each cow is a snake. Snakes are nervous. Each snake is an animal. Polly is a mammal. Is the following statement true or false? Polly is not sour., Polly is a mammal. Each mammal is a vertebrate. Polly is a vertebrate. Vertebrates are cats. Polly is a cat. Cats are dogs. Polly is a dog. Dogs are carnivores. Polly is a carnivore. Carnivores are sour. Polly is sour. ,False,Polly is not sour
 Arthropods are angry. Arthropods are insects. Every insect is liquid. Insects are invertebrates. Invertebrates are hot. Invertebrates are spiders. Spiders are not earthy. Each spider is an ant. Ants are nervous. Ants are moths. Each moth is not large. Each moth is a lepidopteran. Lepidopterans are not red. Each lepidopteran is a crustacean. Each crustacean is not sour. Every crustacean is a butterfly. Animals are large. Fae is an insect. Is the following statement true or false? Fae is not large., Fae is an insect. Insects are invertebrates. Fae is an invertebrate. Invertebrates are spiders. Fae is a spider. Each spider is an ant. Fae is an ant. Ants are moths. Fae is a moth. Each moth is not large. Fae is not large. ,True,Fae is not large
 Every arthropod is opaque. Spiders are earthy. Every arthropod is an invertebrate. Each invertebrate is not metallic. Invertebrates are ants. Each ant is angry. Ants are crustaceans. Each crustacean is brown. Each crustacean is an insect. Insects are dull. Insects are lepidopterans. Every lepidopteran is happy. Lepidopterans are moths. Moths are not earthy. Every moth is a butterfly. Each butterfly is not sweet. Every butterfly is an animal. Wren is an ant. Is the following statement true or false? Wren is earthy., Wren is an ant. Ants are crustaceans. Wren is a crustacean. Each crustacean is an insect. Wren is an insect. Insects are lepidopterans. Wren is a lepidopteran. Lepidopterans are moths. Wren is a moth. Moths are not earthy. Wren is not earthy. ,False,Wren is earthy
 Even numbers are mean. Each even number is a prime number. Every prime number is large. Prime numbers are Mersenne primes. Each Mersenne prime is metallic. Every Mersenne prime is a real number. Every real number is earthy. Real numbers are integers. Each integer is brown. Integers are negative numbers. Each fraction is nervous. Negative numbers are not transparent. Each negative number is a composite number. Composite numbers are not nervous. Composite numbers are numbers. Numbers are spicy. Numbers are natural numbers. Sam is a Mersenne prime. Is the following statement true or false? Sam is nervous., Sam is a Mersenne prime. Every Mersenne prime is a real number. Sam is a real number. Real numbers are integers. Sam is an integer. Integers are negative numbers. Sam is a negative number. Each negative number is a composite number. Sam is a composite number. Composite numbers are not nervous. Sam is not nervous. ,False,Sam is nervous
 Ants are not feisty. Each ant is an invertebrate. Invertebrates are small. Each invertebrate is a lepidopteran. Each lepidopteran is not dull. Lepidopterans are animals. Each animal is not earthy. Animals are moths. Each moth is sour. Moths are insects. Each insect is luminous. Spiders are not red. Every insect is a crustacean. Crustaceans are red. Every crustacean is an arthropod. Arthropods are opaque. Arthropods are butterflies. Rex is a lepidopteran. Is the following statement true or false? Rex is red., Rex is a lepidopteran. Lepidopterans are animals. Rex is an animal. Animals are moths. Rex is a moth. Moths are insects. Rex is an insect. Every insect is a crustacean. Rex is a crustacean. Crustaceans are red. Rex is red. ,True,Rex is red
 Butterflies are bright. Butterflies are spiders. Each crustacean is not small. Spiders are brown. Each spider is an insect. Every insect is floral. Insects are moths. Each moth is amenable. Moths are animals. Animals are metallic. Animals are invertebrates. Every invertebrate is small. Each invertebrate is an ant. Each ant is transparent. Each ant is an arthropod. Each arthropod is hot. Arthropods are lepidopterans. Max is a spider. Is the following statement true or false? Max is not small., Max is a spider. Each spider is an insect. Max is an insect. Insects are moths. Max is a moth. Moths are animals. Max is an animal. Animals are invertebrates. Max is an invertebrate. Every invertebrate is small. Max is small. ,False,Max is not small
 Ants are not large. Ants are moths. Every moth is angry. Moths are arthropods. Arthropods are metallic. Arthropods are lepidopterans. Every lepidopteran is happy. Lepidopterans are spiders. Every spider is not dull. Every spider is an insect. Butterflies are not sweet. Insects are sweet. Every insect is an animal. Every animal is temperate. Each animal is an invertebrate. Every invertebrate is not blue. Invertebrates are crustaceans. Rex is a moth. Is the following statement true or false? Rex is sweet., Rex is a moth. Moths are arthropods. Rex is an arthropod. Arthropods are lepidopterans. Rex is a lepidopteran. Lepidopterans are spiders. Rex is a spider. Every spider is an insect. Rex is an insect. Insects are sweet. Rex is sweet. ,True,Rex is sweet
 Insects are mean. Insects are lepidopterans. Every lepidopteran is luminous. Lepidopterans are arthropods. Every arthropod is not floral. Arthropods are spiders. Spiders are hot. Spiders are animals. Animals are opaque. Animals are ants. Ants are small. Ants are crustaceans. Crustaceans are red. Crustaceans are invertebrates. Each invertebrate is sour. Butterflies are not opaque. Every invertebrate is a moth. Stella is an insect. Is the following statement true or false? Stella is opaque., Stella is an insect. Insects are lepidopterans. Stella is a lepidopteran. Lepidopterans are arthropods. Stella is an arthropod. Arthropods are spiders. Stella is a spider. Spiders are animals. Stella is an animal. Animals are opaque. Stella is opaque. ,True,Stella is opaque
 Every sheep is small. Sheep are mammals. Each mammal is dull. Every mammal is a carnivore. Carnivores are not transparent. Carnivores are vertebrates. Vertebrates are shy. Each feline is not angry. Every vertebrate is a snake. Snakes are angry. Snakes are dogs. Each dog is fruity. Dogs are cats. Cats are brown. Cats are cows. Rex is a sheep. Is the following statement true or false? Rex is angry., Rex is a sheep. Sheep are mammals. Rex is a mammal. Every mammal is a carnivore. Rex is a carnivore. Carnivores are vertebrates. Rex is a vertebrate. Every vertebrate is a snake. Rex is a snake. Snakes are angry. Rex is angry. ,True,Rex is angry
 Each integer is fruity. Each natural number is red. Each natural number is a prime number. Prime numbers are happy. Prime numbers are Mersenne primes. Every Mersenne prime is not large. Mersenne primes are negative numbers. Negative numbers are sour. Every negative number is a composite number. Every composite number is not fruity. Composite numbers are real numbers. Real numbers are not bright. Each real number is a fraction. Each fraction is not mean. Each fraction is a number. Stella is a natural number. Is the following statement true or false? Stella is not fruity., Stella is a natural number. Each natural number is a prime number. Stella is a prime number. Prime numbers are Mersenne primes. Stella is a Mersenne prime. Mersenne primes are negative numbers. Stella is a negative number. Every negative number is a composite number. Stella is a composite number. Every composite number is not fruity. Stella is not fruity. ,True,Stella is not fruity
 Every insect is bright. Insects are arthropods. Arthropods are not angry. Every arthropod is a butterfly. Every butterfly is blue. Butterflies are invertebrates. Invertebrates are not transparent. Each invertebrate is a spider. Each spider is not earthy. Spiders are ants. Crustaceans are wooden. Each ant is not wooden. Each ant is a lepidopteran. Lepidopterans are temperate. Lepidopterans are moths. Moths are bitter. Moths are animals. Sally is an arthropod. Is the following statement true or false? Sally is wooden., Sally is an arthropod. Every arthropod is a butterfly. Sally is a butterfly. Butterflies are invertebrates. Sally is an invertebrate. Each invertebrate is a spider. Sally is a spider. Spiders are ants. Sally is an ant. Each ant is not wooden. Sally is not wooden. ,False,Sally is wooden
 Ants are opaque. Every ant is an arthropod. Arthropods are not bright. Arthropods are invertebrates. Invertebrates are not metallic. Each invertebrate is a lepidopteran. Each lepidopteran is fruity. Every lepidopteran is a crustacean. Crustaceans are not orange. Crustaceans are moths. Moths are happy. Each moth is a spider. Spiders are small. Each spider is an animal. Animals are sour. Animals are butterflies. Insects are not happy. Stella is an arthropod. Is the following statement true or false? Stella is not happy., Stella is an arthropod. Arthropods are invertebrates. Stella is an invertebrate. Each invertebrate is a lepidopteran. Stella is a lepidopteran. Every lepidopteran is a crustacean. Stella is a crustacean. Crustaceans are moths. Stella is a moth. Moths are happy. Stella is happy. ,False,Stella is not happy
 Mersenne primes are spicy. Each Mersenne prime is a fraction. Each fraction is small. Each fraction is a number. Numbers are not transparent. Each number is a composite number. Each composite number is not bright. Prime numbers are not floral. Composite numbers are negative numbers. Every negative number is floral. Negative numbers are real numbers. Each real number is feisty. Every real number is an integer. Integers are not aggressive. Each integer is an even number. Even numbers are luminous. Every even number is a natural number. Sally is a Mersenne prime. Is the following statement true or false? Sally is floral., Sally is a Mersenne prime. Each Mersenne prime is a fraction. Sally is a fraction. Each fraction is a number. Sally is a number. Each number is a composite number. Sally is a composite number. Composite numbers are negative numbers. Sally is a negative number. Every negative number is floral. Sally is floral. ,True,Sally is floral
 Mersenne primes are not liquid. Each Mersenne prime is a prime number. Each prime number is nervous. Prime numbers are numbers. Every number is blue. Each number is a composite number. Composite numbers are kind. Every negative number is fruity. Each composite number is an integer. Integers are large. Each integer is a fraction. Fractions are not fruity. Fractions are real numbers. Real numbers are not transparent. Each real number is an even number. Each even number is cold. Every even number is a natural number. Sam is a prime number. Is the following statement true or false? Sam is not fruity., Sam is a prime number. Prime numbers are numbers. Sam is a number. Each number is a composite number. Sam is a composite number. Each composite number is an integer. Sam is an integer. Each integer is a fraction. Sam is a fraction. Fractions are not fruity. Sam is not fruity. ,True,Sam is not fruity
 Each invertebrate is not temperate. Each invertebrate is an arthropod. Each arthropod is earthy. Each spider is orange. Arthropods are butterflies. Butterflies are aggressive. Every butterfly is a crustacean. Crustaceans are nervous. Each crustacean is a lepidopteran. Every lepidopteran is not small. Every lepidopteran is an animal. Animals are not orange. Every animal is an ant. Ants are opaque. Ants are moths. Each moth is not spicy. Each moth is an insect. Max is an arthropod. Is the following statement true or false? Max is not orange., Max is an arthropod. Arthropods are butterflies. Max is a butterfly. Every butterfly is a crustacean. Max is a crustacean. Each crustacean is a lepidopteran. Max is a lepidopteran. Every lepidopteran is an animal. Max is an animal. Animals are not orange. Max is not orange. ,True,Max is not orange
 Carnivores are not aggressive. Carnivores are cows. Every cow is not spicy. Each cow is a vertebrate. Every vertebrate is large. Vertebrates are sheep. Sheep are cold. Each sheep is a feline. Felines are not bright. Felines are dogs. Each dog is not liquid. Mammals are bright. Dogs are animals. Each animal is not fruity. Animals are cats. Cats are not transparent. Cats are snakes. Polly is a carnivore. Is the following statement true or false? Polly is not bright., Polly is a carnivore. Carnivores are cows. Polly is a cow. Each cow is a vertebrate. Polly is a vertebrate. Vertebrates are sheep. Polly is a sheep. Each sheep is a feline. Polly is a feline. Felines are not bright. Polly is not bright. ,True,Polly is not bright
 Numbers are metallic. Every number is an even number. Even numbers are hot. Each even number is a negative number. Each fraction is not angry. Negative numbers are large. Each negative number is an integer. Each integer is not bright. Integers are natural numbers. Natural numbers are transparent. Each natural number is a prime number. Each prime number is angry. Prime numbers are composite numbers. Composite numbers are sweet. Composite numbers are Mersenne primes. Each Mersenne prime is brown. Every Mersenne prime is a real number. Sam is an even number. Is the following statement true or false? Sam is not angry., Sam is an even number. Each even number is a negative number. Sam is a negative number. Each negative number is an integer. Sam is an integer. Integers are natural numbers. Sam is a natural number. Each natural number is a prime number. Sam is a prime number. Each prime number is angry. Sam is angry. ,False,Sam is not angry
 Mersenne primes are sour. Mersenne primes are integers. Every integer is not opaque. Each fraction is hot. Every integer is a negative number. Negative numbers are orange. Each negative number is a prime number. Every prime number is not dull. Each prime number is a number. Numbers are not hot. Numbers are composite numbers. Composite numbers are floral. Each composite number is a real number. Alex is a Mersenne prime. Is the following statement true or false? Alex is not hot., Alex is a Mersenne prime. Mersenne primes are integers. Alex is an integer. Every integer is a negative number. Alex is a negative number. Each negative number is a prime number. Alex is a prime number. Each prime number is a number. Alex is a number. Numbers are not hot. Alex is not hot. ,True,Alex is not hot
 Cats are wooden. Cats are dogs. Mammals are not bright. Every dog is aggressive. Dogs are animals. Animals are floral. Animals are cows. Cows are bitter. Each cow is a feline. Felines are small. Felines are carnivores. Each carnivore is bright. Carnivores are snakes. Every snake is red. Snakes are vertebrates. Every vertebrate is shy. Vertebrates are sheep. Sam is a dog. Is the following statement true or false? Sam is bright., Sam is a dog. Dogs are animals. Sam is an animal. Animals are cows. Sam is a cow. Each cow is a feline. Sam is a feline. Felines are carnivores. Sam is a carnivore. Each carnivore is bright. Sam is bright. ,True,Sam is bright
 Even numbers are brown. Prime numbers are cold. Every even number is a Mersenne prime. Every Mersenne prime is metallic. Mersenne primes are numbers. Every number is bright. Every number is a composite number. Each composite number is angry. Every composite number is a fraction. Each fraction is not cold. Every fraction is a real number. Each real number is sweet. Each real number is a natural number. Every natural number is not feisty. Every natural number is an integer. Fae is an even number. Is the following statement true or false? Fae is not cold., Fae is an even number. Every even number is a Mersenne prime. Fae is a Mersenne prime. Mersenne primes are numbers. Fae is a number. Every number is a composite number. Fae is a composite number. Every composite number is a fraction. Fae is a fraction. Each fraction is not cold. Fae is not cold. ,True,Fae is not cold
 Each vertebrate is brown. Every vertebrate is an animal. Snakes are cold. Every animal is not transparent. Animals are cats. Cats are bright. Cats are felines. Each feline is wooden. Felines are dogs. Every dog is not sour. Every dog is a sheep. Each sheep is not cold. Sheep are carnivores. Carnivores are nervous. Carnivores are mammals. Mammals are not large. Each mammal is a cow. Rex is an animal. Is the following statement true or false? Rex is not cold., Rex is an animal. Animals are cats. Rex is a cat. Cats are felines. Rex is a feline. Felines are dogs. Rex is a dog. Every dog is a sheep. Rex is a sheep. Each sheep is not cold. Rex is not cold. ,True,Rex is not cold
 Every butterfly is dull. Butterflies are lepidopterans. Every lepidopteran is large. Lepidopterans are ants. Ants are not kind. Ants are invertebrates. Each invertebrate is not wooden. Each invertebrate is an animal. Every animal is sweet. Animals are moths. Each moth is hot. Each moth is a crustacean. Crustaceans are nervous. Crustaceans are insects. Insects are red. Insects are arthropods. Spiders are not sweet. Fae is a butterfly. Is the following statement true or false? Fae is not sweet., Fae is a butterfly. Butterflies are lepidopterans. Fae is a lepidopteran. Lepidopterans are ants. Fae is an ant. Ants are invertebrates. Fae is an invertebrate. Each invertebrate is an animal. Fae is an animal. Every animal is sweet. Fae is sweet. ,False,Fae is not sweet
 Ants are not large. Ants are moths. Moths are liquid. Moths are lepidopterans. Every lepidopteran is cold. Every lepidopteran is a butterfly. Every butterfly is floral. Butterflies are spiders. Every spider is brown. Every invertebrate is not opaque. Spiders are animals. Every animal is opaque. Animals are insects. Each insect is not sour. Every insect is an arthropod. Arthropods are amenable. Arthropods are crustaceans. Wren is a moth. Is the following statement true or false? Wren is opaque., Wren is a moth. Moths are lepidopterans. Wren is a lepidopteran. Every lepidopteran is a butterfly. Wren is a butterfly. Butterflies are spiders. Wren is a spider. Spiders are animals. Wren is an animal. Every animal is opaque. Wren is opaque. ,True,Wren is opaque
 Carnivores are not amenable. Each carnivore is a vertebrate. Vertebrates are not transparent. Every vertebrate is a feline. Felines are not floral. Each feline is a dog. Dogs are feisty. Each dog is a snake. Cows are not cold. Snakes are dull. Every snake is a cat. Cats are cold. Cats are animals. Animals are not large. Each animal is a sheep. Fae is a vertebrate. Is the following statement true or false? Fae is cold., Fae is a vertebrate. Every vertebrate is a feline. Fae is a feline. Each feline is a dog. Fae is a dog. Each dog is a snake. Fae is a snake. Every snake is a cat. Fae is a cat. Cats are cold. Fae is cold. ,True,Fae is cold
 Every arthropod is large. Each moth is cold. Each arthropod is a spider. Spiders are nervous. Each spider is a crustacean. Every crustacean is amenable. Every crustacean is an animal. Animals are not metallic. Each animal is an ant. Ants are transparent. Each ant is an invertebrate. Invertebrates are floral. Each invertebrate is a lepidopteran. Each lepidopteran is not cold. Lepidopterans are butterflies. Butterflies are not dull. Each butterfly is an insect. Fae is a crustacean. Is the following statement true or false? Fae is not cold., Fae is a crustacean. Every crustacean is an animal. Fae is an animal. Each animal is an ant. Fae is an ant. Each ant is an invertebrate. Fae is an invertebrate. Each invertebrate is a lepidopteran. Fae is a lepidopteran. Each lepidopteran is not cold. Fae is not cold. ,True,Fae is not cold
 Arthropods are not orange. Arthropods are butterflies. Butterflies are kind. Butterflies are lepidopterans. Each lepidopteran is not temperate. Lepidopterans are invertebrates. Invertebrates are opaque. Each invertebrate is an animal. Animals are spicy. Animals are moths. Every moth is luminous. Every moth is an ant. Every ant is shy. Each ant is a crustacean. Crustaceans are fruity. Crustaceans are spiders. Each insect is not luminous. Stella is a butterfly. Is the following statement true or false? Stella is luminous., Stella is a butterfly. Butterflies are lepidopterans. Stella is a lepidopteran. Lepidopterans are invertebrates. Stella is an invertebrate. Each invertebrate is an animal. Stella is an animal. Animals are moths. Stella is a moth. Every moth is luminous. Stella is luminous. ,True,Stella is luminous
 Every carnivore is spicy. Every cow is not metallic. Each carnivore is a sheep. Sheep are large. Sheep are cats. Every cat is not temperate. Every cat is a mammal. Each mammal is not brown. Mammals are felines. Every feline is metallic. Felines are snakes. Snakes are not fruity. Snakes are animals. Each animal is feisty. Every animal is a vertebrate. Vertebrates are aggressive. Vertebrates are dogs. Alex is a carnivore. Is the following statement true or false? Alex is not metallic., Alex is a carnivore. Each carnivore is a sheep. Alex is a sheep. Sheep are cats. Alex is a cat. Every cat is a mammal. Alex is a mammal. Mammals are felines. Alex is a feline. Every feline is metallic. Alex is metallic. ,False,Alex is not metallic
 Each arthropod is not transparent. Insects are fruity. Each arthropod is a spider. Each spider is blue. Each spider is a moth. Each moth is not nervous. Each moth is an invertebrate. Every invertebrate is cold. Every invertebrate is a lepidopteran. Lepidopterans are wooden. Lepidopterans are animals. Every animal is small. Animals are crustaceans. Every crustacean is not fruity. Every crustacean is an ant. Ants are not angry. Every ant is a butterfly. Stella is a moth. Is the following statement true or false? Stella is fruity., Stella is a moth. Each moth is an invertebrate. Stella is an invertebrate. Every invertebrate is a lepidopteran. Stella is a lepidopteran. Lepidopterans are animals. Stella is an animal. Animals are crustaceans. Stella is a crustacean. Every crustacean is not fruity. Stella is not fruity. ,False,Stella is fruity
