Unnamed: 0,question,answer,ground_truth,query
7, Vertebrates are not bright. Vertebrates are carnivores. Carnivores are sweet. Every carnivore is a mammal. Each mammal is cold. Dogs are not large. Each mammal is a feline. Felines are not floral. Felines are cats. Every cat is large. Cats are sheep. Each sheep is orange. Sheep are cows. Sally is a mammal. Is the following statement true or false? Sally is large., Sally is a mammal. Each mammal is a feline. Sally is a feline. Felines are cats. Sally is a cat. Every cat is large. Sally is large. ,True,Sally is large
8, Every crustacean is cold. Crustaceans are arthropods. Arthropods are bright. Arthropods are insects. Insects are opaque. Insects are invertebrates. Invertebrates are brown. Each invertebrate is an ant. Lepidopterans are not opaque. Wren is a crustacean. Is the following statement true or false? Wren is not opaque., Wren is a crustacean. Crustaceans are arthropods. Wren is an arthropod. Arthropods are insects. Wren is an insect. Insects are opaque. Wren is opaque. ,False,Wren is not opaque
9, Mammals are opaque. Mammals are dogs. Dogs are hot. Every dog is a sheep. Each sheep is earthy. Sheep are snakes. Each carnivore is not kind. Every snake is bright. Each snake is an animal. Each animal is kind. Each animal is a cat. Each cat is large. Every cat is a vertebrate. Vertebrates are orange. Vertebrates are felines. Felines are liquid. Every feline is a cow. Rex is a sheep. Is the following statement true or false? Rex is kind., Rex is a sheep. Sheep are snakes. Rex is a snake. Each snake is an animal. Rex is an animal. Each animal is kind. Rex is kind. ,True,Rex is kind
10, Each ant is brown. Ants are animals. Animals are happy. Every lepidopteran is not metallic. Each animal is a spider. Spiders are bright. Spiders are insects. Each insect is metallic. Insects are crustaceans. Each crustacean is small. Every crustacean is a moth. Each moth is not transparent. Every moth is a butterfly. Butterflies are hot. Every butterfly is an arthropod. Every arthropod is not aggressive. Arthropods are invertebrates. Rex is an animal. Is the following statement true or false? Rex is metallic., Rex is an animal. Each animal is a spider. Rex is a spider. Spiders are insects. Rex is an insect. Each insect is metallic. Rex is metallic. ,True,Rex is metallic
11, Each real number is not opaque. Every real number is a number. Every integer is not shy. Numbers are not kind. Numbers are even numbers. Even numbers are shy. Every even number is a natural number. Natural numbers are earthy. Natural numbers are Mersenne primes. Max is a real number. Is the following statement true or false? Max is shy., Max is a real number. Every real number is a number. Max is a number. Numbers are even numbers. Max is an even number. Even numbers are shy. Max is shy. ,True,Max is shy
12, Snakes are sweet. Each snake is a cow. Cows are transparent. Every cow is an animal. Every animal is not feisty. Animals are felines. Mammals are earthy. Felines are not earthy. Felines are carnivores. Every carnivore is not dull. Carnivores are dogs. Fae is a cow. Is the following statement true or false? Fae is not earthy., Fae is a cow. Every cow is an animal. Fae is an animal. Animals are felines. Fae is a feline. Felines are not earthy. Fae is not earthy. ,True,Fae is not earthy
13, Prime numbers are earthy. Prime numbers are real numbers. Real numbers are dull. Every real number is an integer. Integers are brown. Integers are even numbers. Every even number is not shy. Every even number is a natural number. Each natural number is not cold. Composite numbers are shy. Every natural number is a number. Every number is sweet. Each number is a negative number. Stella is a real number. Is the following statement true or false? Stella is shy., Stella is a real number. Every real number is an integer. Stella is an integer. Integers are even numbers. Stella is an even number. Every even number is not shy. Stella is not shy. ,False,Stella is shy
14, Every ant is not large. Every ant is an invertebrate. Each invertebrate is not feisty. Invertebrates are insects. Insects are bitter. Every insect is a crustacean. Each crustacean is blue. Crustaceans are butterflies. Each butterfly is mean. Butterflies are spiders. Spiders are not fruity. Each spider is a moth. Every arthropod is fruity. Every moth is metallic. Moths are animals. Animals are transparent. Each animal is a lepidopteran. Stella is a crustacean. Is the following statement true or false? Stella is fruity., Stella is a crustacean. Crustaceans are butterflies. Stella is a butterfly. Butterflies are spiders. Stella is a spider. Spiders are not fruity. Stella is not fruity. ,False,Stella is fruity
15, Moths are large. Moths are invertebrates. Invertebrates are not happy. Every invertebrate is an insect. Every insect is not earthy. Every insect is an animal. Each animal is kind. Arthropods are earthy. Animals are lepidopterans. Wren is a moth. Is the following statement true or false? Wren is not earthy., Wren is a moth. Moths are invertebrates. Wren is an invertebrate. Every invertebrate is an insect. Wren is an insect. Every insect is not earthy. Wren is not earthy. ,True,Wren is not earthy
16, Snakes are not mean. Every animal is not large. Every snake is a dog. Every dog is not metallic. Every dog is a mammal. Each mammal is large. Mammals are carnivores. Every carnivore is shy. Every carnivore is a vertebrate. Vertebrates are temperate. Every vertebrate is a sheep. Every sheep is transparent. Each sheep is a feline. Sam is a snake. Is the following statement true or false? Sam is large., Sam is a snake. Every snake is a dog. Sam is a dog. Every dog is a mammal. Sam is a mammal. Each mammal is large. Sam is large. ,True,Sam is large
17, Every crustacean is cold. Every crustacean is a butterfly. Butterflies are opaque. Butterflies are arthropods. Arthropods are small. Spiders are not small. Arthropods are insects. Every insect is mean. Insects are invertebrates. Max is a crustacean. Is the following statement true or false? Max is not small., Max is a crustacean. Every crustacean is a butterfly. Max is a butterfly. Butterflies are arthropods. Max is an arthropod. Arthropods are small. Max is small. ,False,Max is not small
18, Ants are bright. Butterflies are not cold. Ants are animals. Each animal is happy. Animals are arthropods. Arthropods are earthy. Each arthropod is a crustacean. Crustaceans are cold. Crustaceans are moths. Moths are small. Each moth is a spider. Spiders are sweet. Spiders are lepidopterans. Every lepidopteran is not kind. Lepidopterans are invertebrates. Each invertebrate is not liquid. Invertebrates are insects. Alex is an animal. Is the following statement true or false? Alex is cold., Alex is an animal. Animals are arthropods. Alex is an arthropod. Each arthropod is a crustacean. Alex is a crustacean. Crustaceans are cold. Alex is cold. ,True,Alex is cold
19, Spiders are not bitter. Spiders are crustaceans. Every crustacean is bright. Crustaceans are butterflies. Every butterfly is temperate. Butterflies are lepidopterans. Arthropods are not amenable. Every lepidopteran is not transparent. Every lepidopteran is an ant. Ants are wooden. Ants are insects. Each insect is shy. Each insect is an animal. Every animal is amenable. Animals are moths. Moths are fruity. Moths are invertebrates. Alex is an ant. Is the following statement true or false? Alex is not amenable., Alex is an ant. Ants are insects. Alex is an insect. Each insect is an animal. Alex is an animal. Every animal is amenable. Alex is amenable. ,False,Alex is not amenable
20, Prime numbers are opaque. Every prime number is an integer. Every integer is not feisty. Integers are even numbers. Each even number is angry. Mersenne primes are orange. Even numbers are numbers. Every number is temperate. Numbers are fractions. Fractions are not sweet. Every fraction is a negative number. Negative numbers are small. Negative numbers are real numbers. Every real number is not orange. Real numbers are natural numbers. Natural numbers are floral. Each natural number is a composite number. Sally is a fraction. Is the following statement true or false? Sally is orange., Sally is a fraction. Every fraction is a negative number. Sally is a negative number. Negative numbers are real numbers. Sally is a real number. Every real number is not orange. Sally is not orange. ,False,Sally is orange
21, Spiders are not large. Every spider is an insect. Each insect is fruity. Insects are animals. Animals are not dull. Lepidopterans are dull. Every animal is an ant. Ants are transparent. Ants are arthropods. Stella is a spider. Is the following statement true or false? Stella is not dull., Stella is a spider. Every spider is an insect. Stella is an insect. Insects are animals. Stella is an animal. Animals are not dull. Stella is not dull. ,True,Stella is not dull
22, Mersenne primes are not opaque. Mersenne primes are prime numbers. Prime numbers are luminous. Each prime number is a fraction. Every fraction is large. Each fraction is an integer. Integers are mean. Integers are negative numbers. Each negative number is not floral. Negative numbers are even numbers. Each even number is bitter. Even numbers are natural numbers. Natural numbers are not dull. Real numbers are not mean. Each natural number is a number. Every number is blue. Each number is a composite number. Rex is a prime number. Is the following statement true or false? Rex is not mean., Rex is a prime number. Each prime number is a fraction. Rex is a fraction. Each fraction is an integer. Rex is an integer. Integers are mean. Rex is mean. ,False,Rex is not mean
23, Each composite number is not nervous. Composite numbers are prime numbers. Prime numbers are not small. Every prime number is a fraction. Fractions are sour. Fractions are integers. Every integer is not opaque. Integers are numbers. Mersenne primes are opaque. Every number is aggressive. Every number is a natural number. Each natural number is hot. Every natural number is a real number. Real numbers are liquid. Real numbers are even numbers. Sam is a prime number. Is the following statement true or false? Sam is opaque., Sam is a prime number. Every prime number is a fraction. Sam is a fraction. Fractions are integers. Sam is an integer. Every integer is not opaque. Sam is not opaque. ,False,Sam is opaque
24, Every even number is not small. Each even number is a Mersenne prime. Each Mersenne prime is earthy. Every Mersenne prime is a fraction. Fractions are luminous. Fractions are negative numbers. Each negative number is blue. Every negative number is a composite number. Every composite number is not sour. Every composite number is a prime number. Each prime number is hot. Every real number is not hot. Each prime number is a number. Numbers are happy. Each number is an integer. Integers are not transparent. Integers are natural numbers. Stella is a negative number. Is the following statement true or false? Stella is not hot., Stella is a negative number. Every negative number is a composite number. Stella is a composite number. Every composite number is a prime number. Stella is a prime number. Each prime number is hot. Stella is hot. ,False,Stella is not hot
25, Invertebrates are opaque. Invertebrates are spiders. Spiders are angry. Every spider is an animal. Every animal is bright. Butterflies are not floral. Each animal is a moth. Moths are blue. Moths are arthropods. Arthropods are floral. Every arthropod is an ant. Ants are not small. Every ant is an insect. Sally is an animal. Is the following statement true or false? Sally is not floral., Sally is an animal. Each animal is a moth. Sally is a moth. Moths are arthropods. Sally is an arthropod. Arthropods are floral. Sally is floral. ,False,Sally is not floral
26, Every moth is not mean. Lepidopterans are not transparent. Each moth is a spider. Spiders are floral. Every spider is an invertebrate. Invertebrates are not temperate. Each invertebrate is an insect. Insects are feisty. Every insect is a butterfly. Every butterfly is sour. Butterflies are animals. Every animal is orange. Animals are arthropods. Every arthropod is transparent. Arthropods are ants. Ants are liquid. Ants are crustaceans. Wren is a butterfly. Is the following statement true or false? Wren is not transparent., Wren is a butterfly. Butterflies are animals. Wren is an animal. Animals are arthropods. Wren is an arthropod. Every arthropod is transparent. Wren is transparent. ,False,Wren is not transparent
27, Every prime number is not bright. Integers are not transparent. Integers are numbers. Numbers are large. Numbers are Mersenne primes. Each Mersenne prime is bitter. Each Mersenne prime is a real number. Real numbers are red. Real numbers are natural numbers. Every natural number is bright. Every natural number is a fraction. Fractions are not nervous. Every fraction is an even number. Each even number is cold. Even numbers are composite numbers. Every composite number is mean. Each composite number is a negative number. Fae is a Mersenne prime. Is the following statement true or false? Fae is bright., Fae is a Mersenne prime. Each Mersenne prime is a real number. Fae is a real number. Real numbers are natural numbers. Fae is a natural number. Every natural number is bright. Fae is bright. ,True,Fae is bright
28, Each prime number is dull. Prime numbers are natural numbers. Every natural number is small. Natural numbers are composite numbers. Every composite number is wooden. Each composite number is a negative number. Each negative number is cold. Every negative number is a Mersenne prime. Each Mersenne prime is transparent. Each Mersenne prime is a number. Each fraction is not transparent. Numbers are spicy. Each number is a real number. Real numbers are fruity. Each real number is an integer. Integers are orange. Each integer is an even number. Sam is a composite number. Is the following statement true or false? Sam is transparent., Sam is a composite number. Each composite number is a negative number. Sam is a negative number. Every negative number is a Mersenne prime. Sam is a Mersenne prime. Each Mersenne prime is transparent. Sam is transparent. ,True,Sam is transparent
29, Crustaceans are transparent. Every crustacean is an invertebrate. Each animal is not temperate. Each invertebrate is luminous. Invertebrates are ants. Each ant is temperate. Every ant is an insect. Every insect is not blue. Insects are lepidopterans. Rex is a crustacean. Is the following statement true or false? Rex is not temperate., Rex is a crustacean. Every crustacean is an invertebrate. Rex is an invertebrate. Invertebrates are ants. Rex is an ant. Each ant is temperate. Rex is temperate. ,False,Rex is not temperate
30, Each animal is cold. Animals are spiders. Every spider is not earthy. Spiders are arthropods. Every arthropod is amenable. Every arthropod is a lepidopteran. Lepidopterans are small. Every lepidopteran is a moth. Moths are shy. Each moth is an insect. Each insect is orange. Every insect is an invertebrate. Every ant is not shy. Each invertebrate is sour. Each invertebrate is a crustacean. Crustaceans are dull. Every crustacean is a butterfly. Fae is an arthropod. Is the following statement true or false? Fae is shy., Fae is an arthropod. Every arthropod is a lepidopteran. Fae is a lepidopteran. Every lepidopteran is a moth. Fae is a moth. Moths are shy. Fae is shy. ,True,Fae is shy
31, Each natural number is amenable. Each natural number is a number. Each number is floral. Numbers are composite numbers. Each composite number is not sour. Composite numbers are negative numbers. Each negative number is not blue. Each even number is sour. Negative numbers are Mersenne primes. Each Mersenne prime is not nervous. Mersenne primes are integers. Each integer is small. Integers are fractions. Every fraction is opaque. Every fraction is a real number. Polly is a natural number. Is the following statement true or false? Polly is not sour., Polly is a natural number. Each natural number is a number. Polly is a number. Numbers are composite numbers. Polly is a composite number. Each composite number is not sour. Polly is not sour. ,True,Polly is not sour
32, Animals are luminous. Every animal is a vertebrate. Every vertebrate is temperate. Vertebrates are cows. Each cow is large. Every cow is a cat. Cats are dull. Cats are dogs. Each dog is sweet. Sheep are not dull. Every dog is a carnivore. Polly is a vertebrate. Is the following statement true or false? Polly is dull., Polly is a vertebrate. Vertebrates are cows. Polly is a cow. Every cow is a cat. Polly is a cat. Cats are dull. Polly is dull. ,True,Polly is dull
33, Every composite number is angry. Every composite number is a real number. Every real number is not large. Each real number is a negative number. Every negative number is orange. Negative numbers are fractions. Fractions are opaque. Fractions are numbers. Every number is sour. Each even number is not sour. Numbers are prime numbers. Prime numbers are cold. Prime numbers are natural numbers. Every natural number is floral. Every natural number is a Mersenne prime. Polly is a negative number. Is the following statement true or false? Polly is not sour., Polly is a negative number. Negative numbers are fractions. Polly is a fraction. Fractions are numbers. Polly is a number. Every number is sour. Polly is sour. ,False,Polly is not sour
34, Fractions are not aggressive. Every fraction is an even number. Even numbers are feisty. Even numbers are negative numbers. Negative numbers are opaque. Negative numbers are real numbers. Every real number is not cold. Real numbers are numbers. Numbers are luminous. Each number is an integer. Every integer is large. Every integer is a prime number. Prime numbers are dull. Every composite number is not opaque. Prime numbers are natural numbers. Sally is a fraction. Is the following statement true or false? Sally is not opaque., Sally is a fraction. Every fraction is an even number. Sally is an even number. Even numbers are negative numbers. Sally is a negative number. Negative numbers are opaque. Sally is opaque. ,False,Sally is not opaque
35, Every real number is mean. Each real number is a fraction. Fractions are small. Each fraction is a natural number. Each natural number is bright. Every natural number is a composite number. Negative numbers are not sour. Each composite number is sour. Each composite number is an even number. Every even number is not happy. Every even number is an integer. Integers are floral. Each integer is a Mersenne prime. Mersenne primes are brown. Mersenne primes are prime numbers. Prime numbers are not cold. Each prime number is a number. Sally is a fraction. Is the following statement true or false? Sally is not sour., Sally is a fraction. Each fraction is a natural number. Sally is a natural number. Every natural number is a composite number. Sally is a composite number. Each composite number is sour. Sally is sour. ,False,Sally is not sour
36, Animals are bitter. Animals are lepidopterans. Each lepidopteran is not dull. Lepidopterans are butterflies. Butterflies are not transparent. Crustaceans are not shy. Each butterfly is an ant. Ants are shy. Ants are insects. Every insect is large. Every insect is an arthropod. Each arthropod is temperate. Arthropods are moths. Every moth is floral. Moths are invertebrates. Each invertebrate is aggressive. Invertebrates are spiders. Stella is a lepidopteran. Is the following statement true or false? Stella is not shy., Stella is a lepidopteran. Lepidopterans are butterflies. Stella is a butterfly. Each butterfly is an ant. Stella is an ant. Ants are shy. Stella is shy. ,False,Stella is not shy
37, Felines are wooden. Felines are animals. Every animal is sweet. Animals are sheep. Every sheep is not temperate. Sheep are carnivores. Each carnivore is mean. Cats are temperate. Carnivores are vertebrates. Fae is a feline. Is the following statement true or false? Fae is not temperate., Fae is a feline. Felines are animals. Fae is an animal. Animals are sheep. Fae is a sheep. Every sheep is not temperate. Fae is not temperate. ,True,Fae is not temperate
38, Vertebrates are bright. Each vertebrate is a dog. Each dog is red. Dogs are animals. Animals are transparent. Snakes are not metallic. Every animal is a carnivore. Each carnivore is metallic. Carnivores are felines. Felines are fruity. Felines are cows. Fae is a dog. Is the following statement true or false? Fae is not metallic., Fae is a dog. Dogs are animals. Fae is an animal. Every animal is a carnivore. Fae is a carnivore. Each carnivore is metallic. Fae is metallic. ,False,Fae is not metallic
39, Lepidopterans are sour. Every lepidopteran is an arthropod. Arthropods are not dull. Arthropods are moths. Moths are transparent. Each moth is an ant. Ants are temperate. Every ant is a butterfly. Butterflies are not nervous. Butterflies are invertebrates. Every invertebrate is wooden. Each invertebrate is an animal. Animals are fruity. Each animal is a spider. Spiders are small. Each spider is a crustacean. Every insect is not fruity. Sally is a butterfly. Is the following statement true or false? Sally is fruity., Sally is a butterfly. Butterflies are invertebrates. Sally is an invertebrate. Each invertebrate is an animal. Sally is an animal. Animals are fruity. Sally is fruity. ,True,Sally is fruity
40, Spiders are bitter. Spiders are insects. Insects are not dull. Insects are animals. Each animal is not nervous. Animals are lepidopterans. Each lepidopteran is not cold. Every crustacean is not earthy. Each lepidopteran is an arthropod. Each arthropod is earthy. Every arthropod is an invertebrate. Invertebrates are transparent. Invertebrates are moths. Every moth is luminous. Moths are butterflies. Max is an animal. Is the following statement true or false? Max is earthy., Max is an animal. Animals are lepidopterans. Max is a lepidopteran. Each lepidopteran is an arthropod. Max is an arthropod. Each arthropod is earthy. Max is earthy. ,True,Max is earthy
41, Sheep are not transparent. Sheep are felines. Felines are nervous. Every feline is a dog. Each dog is not bright. Dogs are vertebrates. Each mammal is bright. Each vertebrate is not angry. Each vertebrate is a carnivore. Carnivores are blue. Every carnivore is a snake. Each snake is luminous. Snakes are cats. Sam is a sheep. Is the following statement true or false? Sam is not bright., Sam is a sheep. Sheep are felines. Sam is a feline. Every feline is a dog. Sam is a dog. Each dog is not bright. Sam is not bright. ,True,Sam is not bright
42, Every arthropod is bitter. Each arthropod is an invertebrate. Each invertebrate is bright. Every invertebrate is an animal. Animals are nervous. Animals are lepidopterans. Every lepidopteran is not brown. Lepidopterans are moths. Every moth is transparent. Every moth is an insect. Insects are not angry. Insects are butterflies. Butterflies are fruity. Crustaceans are angry. Each butterfly is an ant. Ants are not small. Ants are spiders. Max is a lepidopteran. Is the following statement true or false? Max is not angry., Max is a lepidopteran. Lepidopterans are moths. Max is a moth. Every moth is an insect. Max is an insect. Insects are not angry. Max is not angry. ,True,Max is not angry
43, Each natural number is temperate. Mersenne primes are not small. Natural numbers are composite numbers. Composite numbers are floral. Composite numbers are negative numbers. Negative numbers are sour. Every negative number is an even number. Even numbers are not red. Every even number is a number. Numbers are dull. Numbers are fractions. Every fraction is small. Fractions are prime numbers. Prime numbers are angry. Prime numbers are real numbers. Alex is an even number. Is the following statement true or false? Alex is small., Alex is an even number. Every even number is a number. Alex is a number. Numbers are fractions. Alex is a fraction. Every fraction is small. Alex is small. ,True,Alex is small
44, Sheep are not orange. Each sheep is a carnivore. Every carnivore is small. Every vertebrate is bright. Each carnivore is a dog. Each dog is happy. Dogs are mammals. Mammals are opaque. Every mammal is an animal. Animals are sweet. Each animal is a snake. Snakes are not bright. Every snake is a cow. Cows are mean. Each cow is a cat. Every cat is hot. Cats are felines. Wren is a mammal. Is the following statement true or false? Wren is bright., Wren is a mammal. Every mammal is an animal. Wren is an animal. Each animal is a snake. Wren is a snake. Snakes are not bright. Wren is not bright. ,False,Wren is bright
45, Each animal is feisty. Animals are vertebrates. Vertebrates are not cold. Vertebrates are cats. Cats are transparent. Each cat is a feline. Every feline is brown. Every feline is a sheep. Sheep are bitter. Each sheep is a mammal. Mammals are mean. Mammals are carnivores. Each carnivore is liquid. Cows are not bitter. Each carnivore is a dog. Each dog is not fruity. Each dog is a snake. Rex is a cat. Is the following statement true or false? Rex is bitter., Rex is a cat. Each cat is a feline. Rex is a feline. Every feline is a sheep. Rex is a sheep. Sheep are bitter. Rex is bitter. ,True,Rex is bitter
46, Sheep are bright. Every sheep is a carnivore. Carnivores are amenable. Carnivores are felines. Felines are sour. Felines are animals. Animals are floral. Animals are snakes. Snakes are orange. Every snake is a vertebrate. Vertebrates are temperate. Every vertebrate is a dog. Dogs are opaque. Dogs are cats. Cats are large. Each cat is a cow. Each mammal is not opaque. Stella is a snake. Is the following statement true or false? Stella is opaque., Stella is a snake. Every snake is a vertebrate. Stella is a vertebrate. Every vertebrate is a dog. Stella is a dog. Dogs are opaque. Stella is opaque. ,True,Stella is opaque
